expression,side,n_sequences,AB_n,AC_n,CB_n,primary_eligible,A_before_B_percent,A_before_C_percent,C_before_B_percent,median_A_distance,median_C_distance,median_B_distance,median_A_B_lead,mean_A_B_lead,positive_lead_percent
Fierce Cutthroat,right,2,2,2,2,False,100.0,100.0,100.0,3.5,12.0,14.5,11.0,11.0,100.0
Fierce Fiery,left,2,2,2,2,False,100.0,100.0,50.0,7.0,18.5,19.0,12.0,12.0,100.0
Fierce Fiery,right,2,2,2,2,False,100.0,100.0,50.0,3.5,15.5,16.0,12.5,12.5,100.0
Fierce Savage,left,2,2,2,2,False,50.0,50.0,0.0,7.0,11.0,11.0,4.0,4.0,50.0
Fierce Savage,right,2,2,2,2,False,100.0,100.0,100.0,2.5,51.5,52.5,50.0,50.0,100.0
Happy,left,10,10,10,10,True,100.0,80.0,90.0,7.5,11.5,17.0,9.0,12.9,100.0
Happy,right,10,10,10,10,True,90.0,80.0,80.0,9.0,13.5,16.5,9.5,8.4,90.0
Happy Elated,left,2,2,2,2,False,100.0,100.0,50.0,8.0,20.0,20.5,12.5,12.5,100.0
Happy Elated,right,2,2,2,2,False,100.0,100.0,50.0,4.5,44.5,45.0,40.5,40.5,100.0
Happy Perky,left,2,2,2,2,False,100.0,100.0,50.0,7.0,21.0,25.5,18.5,18.5,100.0
Happy Perky,right,2,2,2,2,False,100.0,100.0,50.0,1.0,17.5,23.5,22.5,22.5,100.0
Happy So Peaceful,left,2,2,2,2,False,100.0,100.0,50.0,9.0,53.0,55.5,46.5,46.5,100.0
Happy So Peaceful,right,2,2,2,2,False,100.0,100.0,50.0,5.5,55.5,57.0,51.5,51.5,100.0
Humiliated,left,2,2,2,2,False,100.0,100.0,100.0,8.5,12.0,21.0,12.5,12.5,100.0
Humiliated,right,2,2,2,2,False,100.0,100.0,50.0,7.5,22.5,23.5,16.0,16.0,100.0
Insanity Deranged,left,2,2,2,2,False,100.0,100.0,50.0,7.0,29.0,29.5,22.5,22.5,100.0
Insanity Deranged,right,2,2,2,2,False,100.0,100.0,100.0,3.0,55.0,62.5,59.5,59.5,100.0
Insanity Go Cucko,left,1,1,1,1,False,100.0,100.0,100.0,4.0,23.0,30.0,26.0,26.0,100.0
Insanity Go Cucko,right,1,1,1,1,False,100.0,100.0,100.0,1.0,17.0,18.0,17.0,17.0,100.0
Insanity Go Cuckoo,left,1,1,1,1,False,100.0,100.0,0.0,9.0,21.0,21.0,12.0,12.0,100.0
Insanity Go Cuckoo,right,1,1,1,1,False,100.0,100.0,0.0,11.0,25.0,25.0,14.0,14.0,100.0
Insanity Going Crazy,left,2,2,2,2,False,100.0,100.0,50.0,11.0,30.0,30.5,19.5,19.5,100.0
Insanity Going Crazy,right,2,2,2,2,False,100.0,100.0,50.0,8.0,32.5,34.0,26.0,26.0,100.0
Insanity Hostile,left,2,2,2,2,False,100.0,100.0,100.0,8.0,32.5,41.0,33.0,33.0,100.0
Insanity Hostile,right,2,2,2,2,False,100.0,100.0,100.0,5.0,44.5,52.5,47.5,47.5,100.0
