expression,folder,A_left,C_left,B_left,A_right,C_right,B_right,A_distance_left,A_distance_right,C_distance_left,C_distance_right,B_distance_left,B_distance_right,AB_lead_left,AC_lead_left,CB_lead_left,AB_lead_right,AC_lead_right,CB_lead_right
Expressions Sadness,Male_Expressions Sadness 03,102.0,95.0,92.0,114.0,114.0,118.0,5.0,7.0,12.0,7.0,15.0,11.0,10.0,7.0,3.0,4.0,0.0,4.0
Expressions Sadness,Male_Expressions Sadness 04,101.0,100.0,99.0,115.0,116.0,117.0,6.0,8.0,7.0,9.0,8.0,10.0,2.0,1.0,1.0,2.0,1.0,1.0
Expressions Sadness,Male_Expressions Sadness 05,101.0,89.0,87.0,115.0,120.0,120.0,6.0,8.0,18.0,13.0,20.0,13.0,14.0,12.0,2.0,5.0,5.0,0.0
Expressions Surprise,Male_Expressions Surprise 01,99.0,85.0,76.0,114.0,129.0,130.0,8.0,7.0,22.0,22.0,31.0,23.0,23.0,14.0,9.0,16.0,15.0,1.0
Expressions Surprise,Male_Expressions Surprise 02,102.0,93.0,87.0,114.0,120.0,121.0,5.0,7.0,14.0,13.0,20.0,14.0,15.0,9.0,6.0,7.0,6.0,1.0
Expressions Surprise,Male_Expressions Surprise 03,100.0,97.0,97.0,116.0,120.0,122.0,7.0,9.0,10.0,13.0,10.0,15.0,3.0,3.0,0.0,6.0,4.0,2.0
Expressions Surprise,Male_Expressions Surprise 04,99.0,92.0,90.0,117.0,124.0,130.0,8.0,10.0,15.0,17.0,17.0,23.0,9.0,7.0,2.0,13.0,7.0,6.0
Expressions Surprise,Male_Expressions Surprise 05,102.0,52.0,51.0,116.0,136.0,136.0,5.0,9.0,55.0,29.0,56.0,29.0,51.0,50.0,1.0,20.0,20.0,0.0
Eyeglasses,Male_Eyeglasses 1,103.0,19.0,8.0,108.0,208.0,208.0,4.0,1.0,88.0,101.0,99.0,101.0,95.0,84.0,11.0,100.0,100.0,0.0
Fear,Male_Fear 01,99.0,89.0,85.0,115.0,127.0,127.0,8.0,8.0,18.0,20.0,22.0,20.0,14.0,10.0,4.0,12.0,12.0,0.0
Fear,Male_Fear 02,101.0,92.0,91.0,114.0,124.0,126.0,6.0,7.0,15.0,17.0,16.0,19.0,10.0,9.0,1.0,12.0,10.0,2.0
Fear,Male_Fear 03,101.0,88.0,87.0,113.0,124.0,124.0,6.0,6.0,19.0,17.0,20.0,17.0,14.0,13.0,1.0,11.0,11.0,0.0
Fear,Male_Fear 04,100.0,92.0,86.0,116.0,112.0,117.0,7.0,9.0,15.0,5.0,21.0,10.0,14.0,8.0,6.0,1.0,-4.0,5.0
Fear,Male_Fear 05,99.0,91.0,80.0,117.0,131.0,133.0,8.0,10.0,16.0,24.0,27.0,26.0,19.0,8.0,11.0,16.0,14.0,2.0
Fierce Cutthroat,Male_Fierce Cutthroat,98.0,101.0,75.0,109.0,114.0,115.0,9.0,2.0,6.0,7.0,32.0,8.0,23.0,-3.0,26.0,6.0,5.0,1.0
Fierce Fiery,Male_Fierce Fiery,102.0,88.0,88.0,108.0,121.0,122.0,5.0,1.0,19.0,14.0,19.0,15.0,14.0,14.0,0.0,14.0,13.0,1.0
Fierce Savage,Male_Fierce Savage,101.0,107.0,107.0,108.0,130.0,131.0,6.0,1.0,0.0,23.0,0.0,24.0,-6.0,-6.0,0.0,23.0,22.0,1.0
Happy,Male_Happy 01,101.0,55.0,54.0,114.0,120.0,124.0,6.0,7.0,52.0,13.0,53.0,17.0,47.0,46.0,1.0,10.0,6.0,4.0
Happy,Male_Happy 02,102.0,99.0,95.0,113.0,113.0,113.0,5.0,6.0,8.0,6.0,12.0,6.0,7.0,3.0,4.0,0.0,0.0,0.0
Happy,Male_Happy 03,102.0,102.0,93.0,113.0,121.0,123.0,5.0,6.0,5.0,14.0,14.0,16.0,9.0,0.0,9.0,10.0,8.0,2.0
Happy,Male_Happy 04,101.0,98.0,94.0,114.0,115.0,116.0,6.0,7.0,9.0,8.0,13.0,9.0,7.0,3.0,4.0,2.0,1.0,1.0
Happy,Male_Happy 05,99.0,86.0,86.0,116.0,128.0,131.0,8.0,9.0,21.0,21.0,21.0,24.0,13.0,13.0,0.0,15.0,12.0,3.0
Happy Elated,Male_Happy Elated,101.0,89.0,89.0,108.0,159.0,160.0,6.0,1.0,18.0,52.0,18.0,53.0,12.0,12.0,0.0,52.0,51.0,1.0
Happy Perky,Male_Happy Perky,101.0,89.0,80.0,108.0,118.0,130.0,6.0,1.0,18.0,11.0,27.0,23.0,21.0,12.0,9.0,22.0,10.0,12.0
Happy So Peaceful,Male_Happy So Peaceful,100.0,49.0,44.0,110.0,173.0,173.0,7.0,3.0,58.0,66.0,63.0,66.0,56.0,51.0,5.0,63.0,63.0,0.0
Humiliated,Male_Humiliated,99.0,95.0,86.0,115.0,121.0,123.0,8.0,8.0,12.0,14.0,21.0,16.0,13.0,4.0,9.0,8.0,6.0,2.0
Insanity Deranged,Male_Insanity Deranged,101.0,91.0,91.0,108.0,140.0,148.0,6.0,1.0,16.0,33.0,16.0,41.0,10.0,10.0,0.0,40.0,32.0,8.0
Insanity Go Cucko,Male_Insanity Go Cucko,103.0,84.0,77.0,108.0,124.0,125.0,4.0,1.0,23.0,17.0,30.0,18.0,26.0,19.0,7.0,17.0,16.0,1.0
Insanity Going Crazy,Male_Insanity Going Crazy,97.0,71.0,70.0,112.0,146.0,146.0,10.0,5.0,36.0,39.0,37.0,39.0,27.0,26.0,1.0,34.0,34.0,0.0
Insanity Hostile,Male_Insanity Hostile,100.0,82.0,81.0,110.0,141.0,145.0,7.0,3.0,25.0,34.0,26.0,38.0,19.0,18.0,1.0,35.0,31.0,4.0
Insanity Lunatic,Male_Insanity Lunatic,101.0,101.0,98.0,108.0,143.0,148.0,6.0,1.0,6.0,36.0,9.0,41.0,3.0,0.0,3.0,40.0,35.0,5.0
Joy,Male_Joy 01,102.0,96.0,95.0,113.0,117.0,119.0,5.0,6.0,11.0,10.0,12.0,12.0,7.0,6.0,1.0,6.0,4.0,2.0
Joy,Male_Joy 02,103.0,86.0,75.0,113.0,127.0,128.0,4.0,6.0,21.0,20.0,32.0,21.0,28.0,17.0,11.0,15.0,14.0,1.0
Joy,Male_Joy 03,97.0,21.0,21.0,117.0,153.0,155.0,10.0,10.0,86.0,46.0,86.0,48.0,76.0,76.0,0.0,38.0,36.0,2.0
Joy,Male_Joy 04,100.0,95.0,94.0,116.0,121.0,121.0,7.0,9.0,12.0,14.0,13.0,14.0,6.0,5.0,1.0,5.0,5.0,0.0
Joy,Male_Joy 05,99.0,86.0,76.0,117.0,121.0,122.0,8.0,10.0,21.0,14.0,31.0,15.0,23.0,13.0,10.0,5.0,4.0,1.0
Judgemental,Male_Judgemental 01,98.0,96.0,96.0,117.0,124.0,127.0,9.0,10.0,11.0,17.0,11.0,20.0,2.0,2.0,0.0,10.0,7.0,3.0
Judgemental,Male_Judgemental 02,100.0,91.0,89.0,114.0,112.0,114.0,7.0,7.0,16.0,5.0,18.0,7.0,11.0,9.0,2.0,0.0,-2.0,2.0
Judgemental,Male_Judgemental 03,100.0,91.0,91.0,115.0,126.0,127.0,7.0,8.0,16.0,19.0,16.0,20.0,9.0,9.0,0.0,12.0,11.0,1.0
Judgemental,Male_Judgemental 04,101.0,98.0,97.0,114.0,121.0,124.0,6.0,7.0,9.0,14.0,10.0,17.0,4.0,3.0,1.0,10.0,7.0,3.0
Judgemental,Male_Judgemental 05,99.0,99.0,91.0,117.0,134.0,134.0,8.0,10.0,8.0,27.0,16.0,27.0,8.0,0.0,8.0,17.0,17.0,0.0
Nervous,Male_Nervous,101.0,94.0,92.0,115.0,119.0,119.0,6.0,8.0,13.0,12.0,15.0,12.0,9.0,7.0,2.0,4.0,4.0,0.0
Pain,Male_Pain 01,100.0,91.0,91.0,113.0,129.0,129.0,7.0,6.0,16.0,22.0,16.0,22.0,9.0,9.0,0.0,16.0,16.0,0.0
Pain,Male_Pain 02,105.0,62.0,62.0,110.0,136.0,150.0,2.0,3.0,45.0,29.0,45.0,43.0,43.0,43.0,0.0,40.0,26.0,14.0
Pain,Male_Pain 03,100.0,95.0,93.0,114.0,120.0,120.0,7.0,7.0,12.0,13.0,14.0,13.0,7.0,5.0,2.0,6.0,6.0,0.0
Pain,Male_Pain 04,100.0,67.0,67.0,114.0,139.0,140.0,7.0,7.0,40.0,32.0,40.0,33.0,33.0,33.0,0.0,26.0,25.0,1.0
Pain,Male_Pain 05,100.0,87.0,87.0,117.0,127.0,127.0,7.0,10.0,20.0,20.0,20.0,20.0,13.0,13.0,0.0,10.0,10.0,0.0
Pain Illness,Male_Pain Illness,100.0,88.0,88.0,108.0,152.0,152.0,7.0,1.0,19.0,45.0,19.0,45.0,12.0,12.0,0.0,44.0,44.0,0.0
Playful,Male_Playful 01,99.0,98.0,96.0,114.0,117.0,117.0,8.0,7.0,9.0,10.0,11.0,10.0,3.0,1.0,2.0,3.0,3.0,0.0
Playful,Male_Playful 02,101.0,92.0,92.0,113.0,130.0,137.0,6.0,6.0,15.0,23.0,15.0,30.0,9.0,9.0,0.0,24.0,17.0,7.0
Playful,Male_Playful 03,101.0,96.0,96.0,113.0,117.0,120.0,6.0,6.0,11.0,10.0,11.0,13.0,5.0,5.0,0.0,7.0,4.0,3.0
Playful,Male_Playful 04,102.0,95.0,94.0,113.0,119.0,120.0,5.0,6.0,12.0,12.0,13.0,13.0,8.0,7.0,1.0,7.0,6.0,1.0
Playful,Male_Playful 05,101.0,97.0,96.0,114.0,114.0,116.0,6.0,7.0,10.0,7.0,11.0,9.0,5.0,4.0,1.0,2.0,0.0,2.0
Pleasure Oo So Funny,Male_Pleasure Oo So Funny,101.0,102.0,89.0,108.0,117.0,121.0,6.0,1.0,5.0,10.0,18.0,14.0,12.0,-1.0,13.0,13.0,9.0,4.0
Romantic,Male_Romantic 01,98.0,95.0,94.0,116.0,120.0,121.0,9.0,9.0,12.0,13.0,13.0,14.0,4.0,3.0,1.0,5.0,4.0,1.0
Romantic,Male_Romantic 02,101.0,101.0,99.0,114.0,112.0,113.0,6.0,7.0,6.0,5.0,8.0,6.0,2.0,0.0,2.0,-1.0,-2.0,1.0
Romantic,Male_Romantic 03,100.0,101.0,99.0,114.0,116.0,116.0,7.0,7.0,6.0,9.0,8.0,9.0,1.0,-1.0,2.0,2.0,2.0,0.0
Romantic,Male_Romantic 04,101.0,95.0,94.0,114.0,114.0,117.0,6.0,7.0,12.0,7.0,13.0,10.0,7.0,6.0,1.0,3.0,0.0,3.0
Romantic,Male_Romantic 05,101.0,98.0,95.0,114.0,115.0,117.0,6.0,7.0,9.0,8.0,12.0,10.0,6.0,3.0,3.0,3.0,1.0,2.0
S Wink,Male_S Wink 02,97.0,53.0,50.0,117.0,138.0,138.0,10.0,10.0,54.0,31.0,57.0,31.0,47.0,44.0,3.0,21.0,21.0,0.0
Sad,Male_Sad 01,100.0,95.0,89.0,114.0,116.0,118.0,7.0,7.0,12.0,9.0,18.0,11.0,11.0,5.0,6.0,4.0,2.0,2.0
Sad,Male_Sad 02,100.0,95.0,89.0,114.0,113.0,115.0,7.0,7.0,12.0,6.0,18.0,8.0,11.0,5.0,6.0,1.0,-1.0,2.0
Sad,Male_Sad 03,99.0,87.0,74.0,116.0,146.0,146.0,8.0,9.0,20.0,39.0,33.0,39.0,25.0,12.0,13.0,30.0,30.0,0.0
Sad,Male_Sad 04,100.0,102.0,100.0,117.0,118.0,118.0,7.0,10.0,5.0,11.0,7.0,11.0,0.0,-2.0,2.0,1.0,1.0,0.0
Sad,Male_Sad 05,100.0,101.0,97.0,114.0,113.0,115.0,7.0,7.0,6.0,6.0,10.0,8.0,3.0,-1.0,4.0,1.0,-1.0,2.0
Scream,Male_Scream,101.0,99.0,99.0,113.0,125.0,127.0,6.0,6.0,8.0,18.0,8.0,20.0,2.0,2.0,0.0,14.0,12.0,2.0
Seriousness,Male_Seriousness 01,101.0,102.0,100.0,114.0,111.0,113.0,6.0,7.0,5.0,4.0,7.0,6.0,1.0,-1.0,2.0,-1.0,-3.0,2.0
Seriousness,Male_Seriousness 02,102.0,90.0,90.0,114.0,109.0,117.0,5.0,7.0,17.0,2.0,17.0,10.0,12.0,12.0,0.0,3.0,-5.0,8.0
Seriousness,Male_Seriousness 03,100.0,101.0,98.0,114.0,112.0,114.0,7.0,7.0,6.0,5.0,9.0,7.0,2.0,-1.0,3.0,0.0,-2.0,2.0
Seriousness,Male_Seriousness 04,101.0,96.0,92.0,114.0,107.0,119.0,6.0,7.0,11.0,0.0,15.0,12.0,9.0,5.0,4.0,5.0,-7.0,12.0
Seriousness,Male_Seriousness 05,102.0,96.0,90.0,113.0,114.0,117.0,5.0,6.0,11.0,7.0,17.0,10.0,12.0,6.0,6.0,4.0,1.0,3.0
Silly,Male_Silly 01,101.0,94.0,93.0,114.0,116.0,117.0,6.0,7.0,13.0,9.0,14.0,10.0,8.0,7.0,1.0,3.0,2.0,1.0
Silly,Male_Silly 02,101.0,78.0,73.0,115.0,165.0,195.0,6.0,8.0,29.0,58.0,34.0,88.0,28.0,23.0,5.0,80.0,50.0,30.0
Silly,Male_Silly 03,100.0,81.0,71.0,116.0,126.0,126.0,7.0,9.0,26.0,19.0,36.0,19.0,29.0,19.0,10.0,10.0,10.0,0.0
Silly,Male_Silly 04,98.0,88.0,85.0,116.0,153.0,153.0,9.0,9.0,19.0,46.0,22.0,46.0,13.0,10.0,3.0,37.0,37.0,0.0
Silly,Male_Silly 05,101.0,86.0,86.0,114.0,115.0,115.0,6.0,7.0,21.0,8.0,21.0,8.0,15.0,15.0,0.0,1.0,1.0,0.0
Sleepy,Male_Sleepy,101.0,67.0,67.0,113.0,131.0,134.0,6.0,6.0,40.0,24.0,40.0,27.0,34.0,34.0,0.0,21.0,18.0,3.0
Sleepy,Male_Sleepy 01,102.0,55.0,27.0,116.0,186.0,189.0,5.0,9.0,52.0,79.0,80.0,82.0,75.0,47.0,28.0,73.0,70.0,3.0
Sleepy,Male_Sleepy 02,99.0,96.0,94.0,116.0,114.0,117.0,8.0,9.0,11.0,7.0,13.0,10.0,5.0,3.0,2.0,1.0,-2.0,3.0
Sleepy,Male_Sleepy 03,100.0,93.0,92.0,115.0,118.0,123.0,7.0,8.0,14.0,11.0,15.0,16.0,8.0,7.0,1.0,8.0,3.0,5.0
Sleepy,Male_Sleepy 04,99.0,93.0,91.0,115.0,128.0,135.0,8.0,8.0,14.0,21.0,16.0,28.0,8.0,6.0,2.0,20.0,13.0,7.0
Sleepy,Male_Sleepy 05,101.0,98.0,94.0,114.0,116.0,117.0,6.0,7.0,9.0,9.0,13.0,10.0,7.0,3.0,4.0,3.0,2.0,1.0
Straining,Male_Straining,101.0,102.0,95.0,108.0,119.0,119.0,6.0,1.0,5.0,12.0,12.0,12.0,6.0,-1.0,7.0,11.0,11.0,0.0
Subtle,Male_Subtle 01,100.0,100.0,98.0,115.0,116.0,116.0,7.0,8.0,7.0,9.0,9.0,9.0,2.0,0.0,2.0,1.0,1.0,0.0
Subtle,Male_Subtle 02,100.0,107.0,97.0,114.0,109.0,116.0,7.0,7.0,0.0,2.0,10.0,9.0,3.0,-7.0,10.0,2.0,-5.0,7.0
Subtle,Male_Subtle 03,100.0,100.0,98.0,114.0,109.0,117.0,7.0,7.0,7.0,2.0,9.0,10.0,2.0,0.0,2.0,3.0,-5.0,8.0
Subtle,Male_Subtle 04,101.0,104.0,100.0,113.0,114.0,115.0,6.0,6.0,3.0,7.0,7.0,8.0,1.0,-3.0,4.0,2.0,1.0,1.0
Subtle,Male_Subtle 05,100.0,98.0,95.0,116.0,117.0,117.0,7.0,9.0,9.0,10.0,12.0,10.0,5.0,2.0,3.0,1.0,1.0,0.0
Talking,Male_Talking 01,100.0,99.0,94.0,116.0,123.0,123.0,7.0,9.0,8.0,16.0,13.0,16.0,6.0,1.0,5.0,7.0,7.0,0.0
Talking,Male_Talking 02,100.0,94.0,94.0,115.0,121.0,123.0,7.0,8.0,13.0,14.0,13.0,16.0,6.0,6.0,0.0,8.0,6.0,2.0
Talking,Male_Talking 03,102.0,97.0,97.0,112.0,118.0,118.0,5.0,5.0,10.0,11.0,10.0,11.0,5.0,5.0,0.0,6.0,6.0,0.0
Talking,Male_Talking 04,101.0,98.0,96.0,117.0,128.0,131.0,6.0,10.0,9.0,21.0,11.0,24.0,5.0,3.0,2.0,14.0,11.0,3.0
Talking,Male_Talking 05,101.0,98.0,97.0,115.0,119.0,119.0,6.0,8.0,9.0,12.0,10.0,12.0,4.0,3.0,1.0,4.0,4.0,0.0
Terror,Male_Terror,103.0,86.0,84.0,112.0,136.0,136.0,4.0,5.0,21.0,29.0,23.0,29.0,19.0,17.0,2.0,24.0,24.0,0.0
Terror Phobia,Male_Terror Phobia,100.0,92.0,92.0,111.0,124.0,124.0,7.0,4.0,15.0,17.0,15.0,17.0,8.0,8.0,0.0,13.0,13.0,0.0
Ulgh,Male_Ulgh,102.0,89.0,89.0,114.0,123.0,123.0,5.0,7.0,18.0,16.0,18.0,16.0,13.0,13.0,0.0,9.0,9.0,0.0
Wicked,Male_Wicked 01,101.0,91.0,89.0,114.0,132.0,135.0,6.0,7.0,16.0,25.0,18.0,28.0,12.0,10.0,2.0,21.0,18.0,3.0
Wicked,Male_Wicked 02,101.0,94.0,92.0,113.0,137.0,140.0,6.0,6.0,13.0,30.0,15.0,33.0,9.0,7.0,2.0,27.0,24.0,3.0
Wicked,Male_Wicked 03,102.0,84.0,70.0,113.0,135.0,136.0,5.0,6.0,23.0,28.0,37.0,29.0,32.0,18.0,14.0,23.0,22.0,1.0
Wicked,Male_Wicked 04,102.0,93.0,90.0,114.0,115.0,118.0,5.0,7.0,14.0,8.0,17.0,11.0,12.0,9.0,3.0,4.0,1.0,3.0
Wicked,Male_Wicked 05,102.0,91.0,91.0,114.0,116.0,117.0,5.0,7.0,16.0,9.0,16.0,10.0,11.0,11.0,0.0,3.0,2.0,1.0
Wink,Male_Wink,100.0,37.0,37.0,116.0,123.0,125.0,7.0,9.0,70.0,16.0,70.0,18.0,63.0,63.0,0.0,9.0,7.0,2.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 01,102.0,107.0,100.0,114.0,110.0,118.0,5.0,7.0,0.0,3.0,7.0,11.0,2.0,-5.0,7.0,4.0,-4.0,8.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 02,101.0,101.0,92.0,115.0,117.0,122.0,6.0,8.0,6.0,10.0,15.0,15.0,9.0,0.0,9.0,7.0,2.0,5.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 03,101.0,95.0,90.0,114.0,122.0,122.0,6.0,7.0,12.0,15.0,17.0,15.0,11.0,6.0,5.0,8.0,8.0,0.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 04,100.0,95.0,90.0,114.0,121.0,121.0,7.0,7.0,12.0,14.0,17.0,14.0,10.0,5.0,5.0,7.0,7.0,0.0
With Forehead Wrinkles Angry,Male_With Forehead Wrinkles Angry 05,100.0,100.0,73.0,114.0,147.0,147.0,7.0,7.0,7.0,40.0,34.0,40.0,27.0,0.0,27.0,33.0,33.0,0.0
ZMouth Open Horizontal,Male_ZMouth Open Horizontal,101.0,95.0,94.0,116.0,120.0,121.0,6.0,9.0,12.0,13.0,13.0,14.0,7.0,6.0,1.0,5.0,4.0,1.0
ZMouth Open Horizontal And Vertical,Male_ZMouth Open Horizontal And Vertical,96.0,75.0,72.0,116.0,130.0,134.0,11.0,9.0,32.0,23.0,35.0,27.0,24.0,21.0,3.0,18.0,14.0,4.0
ZZ_Bearded,Male_ZZ_Bearded,102.0,93.0,76.0,113.0,128.0,128.0,5.0,6.0,14.0,21.0,31.0,21.0,26.0,9.0,17.0,15.0,15.0,0.0
ZZ_Cavalier,Male_ZZ_Cavalier,101.0,77.0,50.0,115.0,143.0,163.0,6.0,8.0,30.0,36.0,57.0,56.0,51.0,24.0,27.0,48.0,28.0,20.0
ZZ_Dapper,Male_ZZ_Dapper,101.0,89.0,89.0,114.0,125.0,126.0,6.0,7.0,18.0,18.0,18.0,19.0,12.0,12.0,0.0,12.0,11.0,1.0
ZZ_Flynn,Male_ZZ_Flynn,101.0,86.0,86.0,115.0,124.0,126.0,6.0,8.0,21.0,17.0,21.0,19.0,15.0,15.0,0.0,11.0,9.0,2.0
ZZ_Franz Josef,Male_ZZ_Franz Josef,101.0,97.0,94.0,113.0,115.0,118.0,6.0,6.0,10.0,8.0,13.0,11.0,7.0,4.0,3.0,5.0,2.0,3.0
ZZ_Friendly Mutton Chops,Male_ZZ_Friendly Mutton Chops,101.0,81.0,73.0,113.0,129.0,130.0,6.0,6.0,26.0,22.0,34.0,23.0,28.0,20.0,8.0,17.0,16.0,1.0
ZZ_Fu Manchu,Male_ZZ_Fu Manchu,101.0,92.0,92.0,115.0,120.0,120.0,6.0,8.0,15.0,13.0,15.0,13.0,9.0,9.0,0.0,5.0,5.0,0.0
ZZ_Fu Manchu Goatee,Male_ZZ_Fu Manchu Goatee,101.0,86.0,85.0,114.0,134.0,134.0,6.0,7.0,21.0,27.0,22.0,27.0,16.0,15.0,1.0,20.0,20.0,0.0
ZZ_Full Beard,Male_ZZ_Full Beard,99.0,94.0,93.0,116.0,119.0,121.0,8.0,9.0,13.0,12.0,14.0,14.0,6.0,5.0,1.0,5.0,3.0,2.0
ZZ_Goatee,Male_ZZ_Goatee,101.0,85.0,85.0,114.0,123.0,125.0,6.0,7.0,22.0,16.0,22.0,18.0,16.0,16.0,0.0,11.0,9.0,2.0
ZZ_Grizzly Beard,Male_ZZ_Grizzly Beard,99.0,,,116.0,,,8.0,9.0,,,,,,,,,,
ZZ_Mutton Chops,Male_ZZ_Mutton Chops,102.0,95.0,82.0,113.0,121.0,125.0,5.0,6.0,12.0,14.0,25.0,18.0,20.0,7.0,13.0,12.0,8.0,4.0
ZZ_Napoleon III,Male_ZZ_Napoleon III,101.0,51.0,50.0,114.0,182.0,182.0,6.0,7.0,56.0,75.0,57.0,75.0,51.0,50.0,1.0,68.0,68.0,0.0
ZZ_Officer,Male_ZZ_Officer,101.0,87.0,86.0,114.0,124.0,125.0,6.0,7.0,20.0,17.0,21.0,18.0,15.0,14.0,1.0,11.0,10.0,1.0
ZZ_Pioneer,Male_ZZ_Pioneer,101.0,87.0,62.0,113.0,150.0,150.0,6.0,6.0,20.0,43.0,45.0,43.0,39.0,14.0,25.0,37.0,37.0,0.0
ZZ_Stubbled,Male_ZZ_Stubbled,102.0,86.0,85.0,114.0,176.0,177.0,5.0,7.0,21.0,69.0,22.0,70.0,17.0,16.0,1.0,63.0,62.0,1.0
