expression,folder,A_left,C_left,B_left,A_right,C_right,B_right,A_distance_left,A_distance_right,C_distance_left,C_distance_right,B_distance_left,B_distance_right,AB_lead_left,AC_lead_left,CB_lead_left,AB_lead_right,AC_lead_right,CB_lead_right
Empathy,Female_Empathy 03,99.0,99.0,96.0,116.0,125.0,130.0,8.0,9.0,8.0,18.0,11.0,23.0,3.0,0.0,3.0,14.0,9.0,5.0
Empathy,Female_Empathy 04,98.0,99.0,91.0,117.0,121.0,123.0,9.0,10.0,8.0,14.0,16.0,16.0,7.0,-1.0,8.0,6.0,4.0,2.0
Empathy,Female_Empathy 05,98.0,99.0,99.0,117.0,135.0,135.0,9.0,10.0,8.0,28.0,8.0,28.0,-1.0,-1.0,0.0,18.0,18.0,0.0
Expressions Anger,Female_Expressions Anger 01,98.0,98.0,97.0,127.0,119.0,122.0,9.0,20.0,9.0,12.0,10.0,15.0,1.0,0.0,1.0,-5.0,-8.0,3.0
Expressions Anger,Female_Expressions Anger 02,96.0,84.0,83.0,124.0,125.0,127.0,11.0,17.0,23.0,18.0,24.0,20.0,13.0,12.0,1.0,3.0,1.0,2.0
Expressions Anger,Female_Expressions Anger 03,98.0,85.0,84.0,125.0,125.0,127.0,9.0,18.0,22.0,18.0,23.0,20.0,14.0,13.0,1.0,2.0,0.0,2.0
Expressions Anger,Female_Expressions Anger 04,97.0,93.0,93.0,127.0,130.0,131.0,10.0,20.0,14.0,23.0,14.0,24.0,4.0,4.0,0.0,4.0,3.0,1.0
Expressions Anger,Female_Expressions Anger 05,96.0,85.0,85.0,125.0,124.0,125.0,11.0,18.0,22.0,17.0,22.0,18.0,11.0,11.0,0.0,0.0,-1.0,1.0
Expressions Confusion,Female_Expressions Confusion 01,97.0,95.0,95.0,128.0,129.0,136.0,10.0,21.0,12.0,22.0,12.0,29.0,2.0,2.0,0.0,8.0,1.0,7.0
Expressions Confusion,Female_Expressions Confusion 02,99.0,94.0,84.0,128.0,128.0,128.0,8.0,21.0,13.0,21.0,23.0,21.0,15.0,5.0,10.0,0.0,0.0,0.0
Expressions Confusion,Female_Expressions Confusion 03,98.0,99.0,97.0,126.0,126.0,127.0,9.0,19.0,8.0,19.0,10.0,20.0,1.0,-1.0,2.0,1.0,0.0,1.0
Expressions Confusion,Female_Expressions Confusion 04,97.0,100.0,98.0,127.0,119.0,127.0,10.0,20.0,7.0,12.0,9.0,20.0,-1.0,-3.0,2.0,0.0,-8.0,8.0
Expressions Confusion,Female_Expressions Confusion 05,99.0,86.0,84.0,130.0,134.0,134.0,8.0,23.0,21.0,27.0,23.0,27.0,15.0,13.0,2.0,4.0,4.0,0.0
Expressions Contempt,Female_Expressions Contempt 01,97.0,97.0,87.0,127.0,124.0,127.0,10.0,20.0,10.0,17.0,20.0,20.0,10.0,0.0,10.0,0.0,-3.0,3.0
Expressions Contempt,Female_Expressions Contempt 02,97.0,98.0,97.0,127.0,148.0,150.0,10.0,20.0,9.0,41.0,10.0,43.0,0.0,-1.0,1.0,23.0,21.0,2.0
Expressions Contempt,Female_Expressions Contempt 03,98.0,83.0,83.0,127.0,138.0,140.0,9.0,20.0,24.0,31.0,24.0,33.0,15.0,15.0,0.0,13.0,11.0,2.0
Expressions Contempt,Female_Expressions Contempt 04,97.0,97.0,95.0,127.0,124.0,127.0,10.0,20.0,10.0,17.0,12.0,20.0,2.0,0.0,2.0,0.0,-3.0,3.0
Expressions Contempt,Female_Expressions Contempt 05,97.0,78.0,77.0,129.0,133.0,139.0,10.0,22.0,29.0,26.0,30.0,32.0,20.0,19.0,1.0,10.0,4.0,6.0
Expressions Desire,Female_Expressions Desire 01,98.0,102.0,100.0,127.0,119.0,120.0,9.0,20.0,5.0,12.0,7.0,13.0,-2.0,-4.0,2.0,-7.0,-8.0,1.0
Expressions Desire,Female_Expressions Desire 02,97.0,88.0,86.0,127.0,159.0,159.0,10.0,20.0,19.0,52.0,21.0,52.0,11.0,9.0,2.0,32.0,32.0,0.0
Expressions Desire,Female_Expressions Desire 03,97.0,99.0,92.0,128.0,126.0,130.0,10.0,21.0,8.0,19.0,15.0,23.0,5.0,-2.0,7.0,2.0,-2.0,4.0
Expressions Desire,Female_Expressions Desire 04,94.0,73.0,73.0,119.0,129.0,129.0,13.0,12.0,34.0,22.0,34.0,22.0,21.0,21.0,0.0,10.0,10.0,0.0
Expressions Desire,Female_Expressions Desire 05,97.0,57.0,57.0,129.0,144.0,146.0,10.0,22.0,50.0,37.0,50.0,39.0,40.0,40.0,0.0,17.0,15.0,2.0
Expressions Disgust,Female_Expressions Disgust 01,98.0,82.0,82.0,129.0,133.0,138.0,9.0,22.0,25.0,26.0,25.0,31.0,16.0,16.0,0.0,9.0,4.0,5.0
Expressions Disgust,Female_Expressions Disgust 02,98.0,70.0,70.0,126.0,138.0,138.0,9.0,19.0,37.0,31.0,37.0,31.0,28.0,28.0,0.0,12.0,12.0,0.0
Expressions Disgust,Female_Expressions Disgust 03,97.0,95.0,93.0,126.0,124.0,125.0,10.0,19.0,12.0,17.0,14.0,18.0,4.0,2.0,2.0,-1.0,-2.0,1.0
Expressions Disgust,Female_Expressions Disgust 04,100.0,85.0,82.0,123.0,140.0,146.0,7.0,16.0,22.0,33.0,25.0,39.0,18.0,15.0,3.0,23.0,17.0,6.0
Expressions Disgust,Female_Expressions Disgust 05,97.0,94.0,94.0,125.0,124.0,130.0,10.0,18.0,13.0,17.0,13.0,23.0,3.0,3.0,0.0,5.0,-1.0,6.0
Expressions Excitement,Female_Expressions Excitement 01,97.0,87.0,81.0,129.0,128.0,131.0,10.0,22.0,20.0,21.0,26.0,24.0,16.0,10.0,6.0,2.0,-1.0,3.0
Expressions Excitement,Female_Expressions Excitement 02,98.0,87.0,82.0,129.0,152.0,152.0,9.0,22.0,20.0,45.0,25.0,45.0,16.0,11.0,5.0,23.0,23.0,0.0
Expressions Excitement,Female_Expressions Excitement 03,97.0,98.0,95.0,127.0,123.0,124.0,10.0,20.0,9.0,16.0,12.0,17.0,2.0,-1.0,3.0,-3.0,-4.0,1.0
Expressions Excitement,Female_Expressions Excitement 04,96.0,72.0,70.0,129.0,121.0,127.0,11.0,22.0,35.0,14.0,37.0,20.0,26.0,24.0,2.0,-2.0,-8.0,6.0
Expressions Excitement,Female_Expressions Excitement 05,98.0,92.0,91.0,129.0,120.0,125.0,9.0,22.0,15.0,13.0,16.0,18.0,7.0,6.0,1.0,-4.0,-9.0,5.0
Expressions Fear,Female_Expressions Fear 01,97.0,94.0,88.0,128.0,127.0,131.0,10.0,21.0,13.0,20.0,19.0,24.0,9.0,3.0,6.0,3.0,-1.0,4.0
Expressions Fear,Female_Expressions Fear 02,96.0,88.0,81.0,130.0,136.0,138.0,11.0,23.0,19.0,29.0,26.0,31.0,15.0,8.0,7.0,8.0,6.0,2.0
Expressions Fear,Female_Expressions Fear 03,98.0,92.0,86.0,127.0,120.0,126.0,9.0,20.0,15.0,13.0,21.0,19.0,12.0,6.0,6.0,-1.0,-7.0,6.0
Expressions Fear,Female_Expressions Fear 04,98.0,97.0,96.0,127.0,121.0,126.0,9.0,20.0,10.0,14.0,11.0,19.0,2.0,1.0,1.0,-1.0,-6.0,5.0
Expressions Fear,Female_Expressions Fear 05,97.0,97.0,95.0,128.0,124.0,128.0,10.0,21.0,10.0,17.0,12.0,21.0,2.0,0.0,2.0,0.0,-4.0,4.0
Expressions Happiness,Female_Expressions Happiness 01,98.0,83.0,81.0,127.0,125.0,126.0,9.0,20.0,24.0,18.0,26.0,19.0,17.0,15.0,2.0,-1.0,-2.0,1.0
Expressions Happiness,Female_Expressions Happiness 02,98.0,93.0,85.0,127.0,126.0,131.0,9.0,20.0,14.0,19.0,22.0,24.0,13.0,5.0,8.0,4.0,-1.0,5.0
Expressions Happiness,Female_Expressions Happiness 03,97.0,96.0,83.0,130.0,130.0,130.0,10.0,23.0,11.0,23.0,24.0,23.0,14.0,1.0,13.0,0.0,0.0,0.0
Expressions Happiness,Female_Expressions Happiness 04,97.0,82.0,81.0,129.0,126.0,137.0,10.0,22.0,25.0,19.0,26.0,30.0,16.0,15.0,1.0,8.0,-3.0,11.0
Expressions Happiness,Female_Expressions Happiness 05,97.0,80.0,78.0,129.0,130.0,132.0,10.0,22.0,27.0,23.0,29.0,25.0,19.0,17.0,2.0,3.0,1.0,2.0
Expressions Sadness,Female_Expressions Sadness 01,98.0,94.0,85.0,127.0,120.0,125.0,9.0,20.0,13.0,13.0,22.0,18.0,13.0,4.0,9.0,-2.0,-7.0,5.0
Expressions Sadness,Female_Expressions Sadness 02,96.0,57.0,57.0,128.0,146.0,153.0,11.0,21.0,50.0,39.0,50.0,46.0,39.0,39.0,0.0,25.0,18.0,7.0
Expressions Sadness,Female_Expressions Sadness 03,98.0,99.0,98.0,126.0,120.0,125.0,9.0,19.0,8.0,13.0,9.0,18.0,0.0,-1.0,1.0,-1.0,-6.0,5.0
Expressions Sadness,Female_Expressions Sadness 04,99.0,95.0,94.0,127.0,127.0,127.0,8.0,20.0,12.0,20.0,13.0,20.0,5.0,4.0,1.0,0.0,0.0,0.0
Expressions Sadness,Female_Expressions Sadness 05,98.0,92.0,85.0,128.0,130.0,131.0,9.0,21.0,15.0,23.0,22.0,24.0,13.0,6.0,7.0,3.0,2.0,1.0
Expressions Surprise,Female_Expressions Surprise 01,99.0,42.0,42.0,124.0,165.0,166.0,8.0,17.0,65.0,58.0,65.0,59.0,57.0,57.0,0.0,42.0,41.0,1.0
Expressions Surprise,Female_Expressions Surprise 02,98.0,82.0,82.0,128.0,128.0,134.0,9.0,21.0,25.0,21.0,25.0,27.0,16.0,16.0,0.0,6.0,0.0,6.0
Expressions Surprise,Female_Expressions Surprise 03,98.0,92.0,90.0,129.0,130.0,131.0,9.0,22.0,15.0,23.0,17.0,24.0,8.0,6.0,2.0,2.0,1.0,1.0
Expressions Surprise,Female_Expressions Surprise 04,96.0,87.0,86.0,130.0,141.0,146.0,11.0,23.0,20.0,34.0,21.0,39.0,10.0,9.0,1.0,16.0,11.0,5.0
Expressions Surprise,Female_Expressions Surprise 05,97.0,84.0,75.0,130.0,140.0,141.0,10.0,23.0,23.0,33.0,32.0,34.0,22.0,13.0,9.0,11.0,10.0,1.0
Eyeglasses,Female_Eyeglasses 1,103.0,22.0,22.0,110.0,193.0,193.0,4.0,3.0,85.0,86.0,85.0,86.0,81.0,81.0,0.0,83.0,83.0,0.0
Fear,Female_Fear 01,97.0,35.0,35.0,119.0,133.0,133.0,10.0,12.0,72.0,26.0,72.0,26.0,62.0,62.0,0.0,14.0,14.0,0.0
Fear,Female_Fear 02,97.0,84.0,83.0,118.0,145.0,146.0,10.0,11.0,23.0,38.0,24.0,39.0,14.0,13.0,1.0,28.0,27.0,1.0
Fear,Female_Fear 03,97.0,82.0,80.0,117.0,128.0,130.0,10.0,10.0,25.0,21.0,27.0,23.0,17.0,15.0,2.0,13.0,11.0,2.0
Fear,Female_Fear 04,98.0,87.0,86.0,118.0,147.0,147.0,9.0,11.0,20.0,40.0,21.0,40.0,12.0,11.0,1.0,29.0,29.0,0.0
Fear,Female_Fear 05,98.0,85.0,75.0,119.0,136.0,138.0,9.0,12.0,22.0,29.0,32.0,31.0,23.0,13.0,10.0,19.0,17.0,2.0
Fierce Cutthroat,Female_Fierce Cutthroat,99.0,86.0,86.0,112.0,124.0,128.0,8.0,5.0,21.0,17.0,21.0,21.0,13.0,13.0,0.0,16.0,12.0,4.0
Fierce Fiery,Female_Fierce Fiery,98.0,89.0,88.0,113.0,124.0,124.0,9.0,6.0,18.0,17.0,19.0,17.0,10.0,9.0,1.0,11.0,11.0,0.0
Fierce Savage,Female_Fierce Savage,99.0,85.0,85.0,111.0,187.0,188.0,8.0,4.0,22.0,80.0,22.0,81.0,14.0,14.0,0.0,77.0,76.0,1.0
Happy,Female_Happy 01,97.0,97.0,84.0,119.0,119.0,120.0,10.0,12.0,10.0,12.0,23.0,13.0,13.0,0.0,13.0,1.0,0.0,1.0
Happy,Female_Happy 02,99.0,98.0,92.0,116.0,118.0,121.0,8.0,9.0,9.0,11.0,15.0,14.0,7.0,1.0,6.0,5.0,2.0,3.0
Happy,Female_Happy 03,99.0,94.0,89.0,116.0,122.0,125.0,8.0,9.0,13.0,15.0,18.0,18.0,10.0,5.0,5.0,9.0,6.0,3.0
Happy,Female_Happy 04,100.0,93.0,91.0,116.0,130.0,130.0,7.0,9.0,14.0,23.0,16.0,23.0,9.0,7.0,2.0,14.0,14.0,0.0
Happy,Female_Happy 05,96.0,90.0,89.0,118.0,131.0,136.0,11.0,11.0,17.0,24.0,18.0,29.0,7.0,6.0,1.0,18.0,13.0,5.0
Happy Elated,Female_Happy Elated,97.0,85.0,84.0,115.0,144.0,144.0,10.0,8.0,22.0,37.0,23.0,37.0,13.0,12.0,1.0,29.0,29.0,0.0
