abs_angle,A_mean,A_ci_low,A_ci_high,B_mean,B_ci_low,B_ci_high,C_mean,C_ci_low,C_ci_high
24,33.35207748413086,32.72782897949219,33.88199996948242,0.3161592483520508,0.27338993549346924,0.3536299765110016,-0.008949710987508297,-0.010980760678648949,-0.006923402193933725
25,34.00817108154297,33.51346206665039,34.55011749267578,0.30327868461608887,0.26580795645713806,0.3384074866771698,-0.00971599668264389,-0.011930132284760475,-0.007786894682794809
26,34.45219039916992,33.973079681396484,34.91957092285156,0.3044496476650238,0.26753512024879456,0.3407494127750397,-0.009648098610341549,-0.011456307023763657,-0.007704299408942461
27,35.420066833496094,34.91460037231445,35.92371368408203,0.28103044629096985,0.24528688192367554,0.31850117444992065,-0.010766111314296722,-0.012684659101068974,-0.008647681213915348
28,35.96363067626953,35.4400520324707,36.42709732055664,0.26814988255500793,0.233021080493927,0.3103044629096985,-0.011194316670298576,-0.013202156871557236,-0.008873089216649532
29,36.526451110839844,36.05109405517578,37.00230026245117,0.26229506731033325,0.22833724319934845,0.29803866147994995,-0.01130473893135786,-0.013271109201014042,-0.009446706622838974
30,37.1610221862793,36.60932159423828,37.67117691040039,0.2423887550830841,0.20898711681365967,0.2798594832420349,-0.012034359388053417,-0.014214175753295422,-0.009478830732405186
31,37.580989837646484,37.11616897583008,38.0550537109375,0.23185011744499207,0.1990632265806198,0.2675936818122864,-0.012332254089415073,-0.014431118965148926,-0.010127955116331577
32,37.940128326416016,37.509117126464844,38.32674789428711,0.23067915439605713,0.19493559002876282,0.2634660303592682,-0.012893866747617722,-0.0149680245667696,-0.010847119614481926
33,38.382537841796875,37.98619079589844,38.77976989746094,0.2271662801504135,0.19320842623710632,0.2652517557144165,-0.013502001762390137,-0.015401287004351616,-0.011337131261825562
34,38.719947814941406,38.32204055786133,39.14854431152344,0.2107728272676468,0.18026931583881378,0.24590164422988892,-0.014350485056638718,-0.016376474872231483,-0.012465219013392925
35,38.90845489501953,38.565242767333984,39.29621124267578,0.2084309160709381,0.17497073113918304,0.24004684388637543,-0.014649220742285252,-0.01698874495923519,-0.012626583687961102
36,39.36248016357422,38.95951843261719,39.83732604980469,0.20257611572742462,0.16978922486305237,0.23480679094791412,-0.015353035181760788,-0.01732398197054863,-0.013445678167045116
37,39.81671905517578,39.39057159423828,40.24776840209961,0.19672131538391113,0.16510538756847382,0.23246487975120544,-0.015875834971666336,-0.01794825680553913,-0.013833042234182358
38,40.030555725097656,39.62887954711914,40.426090240478516,0.20140515267848969,0.16978922486305237,0.237148717045784,-0.015268392860889435,-0.017347054556012154,-0.013096906244754791
39,40.645755767822266,40.2186164855957,41.07865524291992,0.19437938928604126,0.161592498421669,0.2236533910036087,-0.016612937673926353,-0.018569696694612503,-0.014590393751859665
40,41.59025192260742,41.06145095825195,42.09731674194336,0.1861826628446579,0.1539519876241684,0.21779859066009521,-0.018587864935398102,-0.02061605267226696,-0.01652505435049534
41,41.831058502197266,41.328575134277344,42.32807922363281,0.17564402520656586,0.14402809739112854,0.20608898997306824,-0.01880575157701969,-0.020755385980010033,-0.01661069504916668
42,42.32069778442383,41.8416748046875,42.791900634765625,0.15690866112709045,0.127634659409523,0.1879683881998062,-0.02012374997138977,-0.02235490083694458,-0.018201684579253197
43,42.95015335083008,42.42646408081055,43.501949310302734,0.15925058722496033,0.13170373439788818,0.19148127734661102,-0.02153937518596649,-0.023624641820788383,-0.01922767423093319
44,43.34136962890625,42.798274993896484,43.887664794921875,0.15456674993038177,0.12295082211494446,0.1879683881998062,-0.022325586527585983,-0.024649804458022118,-0.02027692086994648
45,43.7728157043457,43.21263122558594,44.33024597167969,0.14168618619441986,0.1106264665722847,0.16978922486305237,-0.022895531728863716,-0.02508341148495674,-0.02071317657828331
46,44.23324203491211,43.714298248291016,44.756954193115234,0.13583138585090637,0.10655737668275833,0.16516393423080444,-0.023991426452994347,-0.026087356731295586,-0.02194712869822979
47,44.71868896484375,44.16505813598633,45.24819564819336,0.127634659409523,0.0995316132903099,0.15925058722496033,-0.02545633167028427,-0.027678607031702995,-0.023098964244127274
48,45.068721771240234,44.504276275634766,45.59370422363281,0.13231849670410156,0.10532786697149277,0.161592498421669,-0.026179766282439232,-0.02841230109333992,-0.02349642664194107
49,45.321876525878906,44.795509338378906,45.8955192565918,0.12880562245845795,0.0995316132903099,0.15869438648223877,-0.026370156556367874,-0.02856237255036831,-0.02399464324116707
50,45.55034637451172,45.03311538696289,46.09282684326172,0.11943794041872025,0.09133489429950714,0.1487119495868683,-0.02671784535050392,-0.028976688161492348,-0.024550464004278183
51,45.82966995239258,45.27260208129883,46.300559997558594,0.127634659409523,0.10070257633924484,0.1563524603843689,-0.027185963466763496,-0.029260525479912758,-0.02469061315059662
52,46.03330993652344,45.53763961791992,46.51567077636719,0.11124122142791748,0.08782201260328293,0.1370023488998413,-0.027640903368592262,-0.02968856878578663,-0.0255883801728487
53,45.89811706542969,45.426673889160156,46.331993103027344,0.11943794041872025,0.09423302114009857,0.1487119495868683,-0.02721867710351944,-0.029511362314224243,-0.024838803336024284
54,46.3602409362793,45.829139709472656,46.88203048706055,0.11826697736978531,0.08899297565221786,0.1469847857952118,-0.0285781379789114,-0.030977677553892136,-0.026001451537013054
55,46.67332077026367,46.21823501586914,47.18999481201172,0.12060889601707458,0.09250585734844208,0.14932669699192047,-0.02889474853873253,-0.03145667165517807,-0.02672811970114708
56,46.758941650390625,46.28997802734375,47.28101348876953,0.12177985906600952,0.09072013944387436,0.1487119495868683,-0.028040673583745956,-0.03038945235311985,-0.02565157786011696
57,47.145774841308594,46.649662017822266,47.62432861328125,0.10889929533004761,0.08313817530870438,0.13583138585090637,-0.02822723425924778,-0.030515870079398155,-0.025968139991164207
