folder,gender,expression,A_left_angle,A_left_abs_angle,A_right_angle,A_right_abs_angle,B_left_angle,B_left_abs_angle,B_right_angle,B_right_abs_angle,C_left_angle,C_left_abs_angle,C_right_angle,C_right_abs_angle,C_hard_left_angle,C_hard_left_abs_angle,C_hard_right_angle,C_hard_right_abs_angle,A_left_integrated_drift_deg,A_right_integrated_drift_deg,A_left_integrated_1_minus_cos,A_right_integrated_1_minus_cos,B_left_consistency_AUC,B_right_consistency_AUC,C_left_margin_AUC,C_right_margin_AUC,A_leads_B_left,C_leads_B_left,B_minus_A_left,B_minus_C_left,A_leads_B_right,C_leads_B_right,B_minus_A_right,B_minus_C_right
Female_Empathy 03,Female,Empathy,-8.0,8.0,9.0,9.0,-11.0,11.0,23.0,23.0,-8.0,8.0,18.0,18.0,-11.0,11.0,23.0,23.0,37.924159896707984,43.155969929472306,0.23280574673804166,0.3030637185150218,0.08878504672897196,0.2102803738317757,-0.03725847963974855,-0.04757109214769346,1.0,1.0,3.0,3.0,1.0,1.0,14.0,5.0
Female_Empathy 04,Female,Empathy,-9.0,9.0,10.0,10.0,-16.0,16.0,16.0,16.0,-8.0,8.0,14.0,14.0,-16.0,16.0,16.0,16.0,39.84472982460093,43.90056249582879,0.25910611520303745,0.3138124756166868,0.1261682242990654,0.13551401869158877,-0.05104300101226735,-0.06662556612603018,1.0,1.0,7.0,8.0,1.0,1.0,6.0,2.0
Female_Empathy 05,Female,Empathy,-9.0,9.0,10.0,10.0,-8.0,8.0,28.0,28.0,-8.0,8.0,28.0,28.0,-8.0,8.0,28.0,28.0,39.32189472145009,44.171051479945675,0.250330390774201,0.31542836756349724,0.07009345794392523,0.2570093457943925,-0.04694527109092641,-0.056949003834590735,0.0,0.0,-1.0,0.0,1.0,0.0,18.0,0.0
Female_Expressions Anger 01,Female,Expressions Anger,-9.0,9.0,20.0,20.0,-10.0,10.0,15.0,15.0,-9.0,9.0,12.0,12.0,-10.0,10.0,15.0,15.0,38.61153560041267,39.95658844180196,0.24199625738313266,0.28622677170227623,0.08878504672897196,0.13551401869158877,-0.04042952445065864,-0.06102160789142145,1.0,1.0,1.0,1.0,0.0,1.0,-5.0,3.0
Female_Expressions Anger 02,Female,Expressions Anger,-11.0,11.0,17.0,17.0,-24.0,24.0,20.0,20.0,-23.0,23.0,18.0,18.0,-24.0,24.0,20.0,20.0,35.71549467951338,41.68852226255096,0.21149989572640893,0.3053695130571027,0.22897196261682243,0.17289719626168223,-0.029205873469325985,-0.0826861770632111,1.0,1.0,13.0,1.0,1.0,1.0,3.0,2.0
Female_Expressions Anger 03,Female,Expressions Anger,-9.0,9.0,18.0,18.0,-23.0,23.0,20.0,20.0,-22.0,22.0,18.0,18.0,-23.0,23.0,20.0,20.0,38.253045496539535,42.23463021845461,0.2384357293632543,0.313739426782198,0.2102803738317757,0.17289719626168223,-0.039736249179483575,-0.07796878277141357,1.0,1.0,14.0,1.0,1.0,1.0,2.0,2.0
Female_Expressions Anger 04,Female,Expressions Anger,-10.0,10.0,20.0,20.0,-14.0,14.0,24.0,24.0,-14.0,14.0,23.0,23.0,-14.0,14.0,24.0,24.0,37.53716729957367,42.81297924306905,0.23542896163797825,0.3253330451862834,0.1261682242990654,0.21962616822429906,-0.04132435296740487,-0.08892195553423088,1.0,0.0,4.0,0.0,1.0,1.0,4.0,1.0
Female_Expressions Anger 05,Female,Expressions Anger,-11.0,11.0,18.0,18.0,-22.0,22.0,18.0,18.0,-22.0,22.0,17.0,17.0,-22.0,22.0,18.0,18.0,38.796251372756245,41.17636137198065,0.24675026870219507,0.3017247583821555,0.20093457943925233,0.16355140186915887,-0.046319587208400265,-0.07253751910735513,1.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0
Female_Expressions Confusion 01,Female,Expressions Confusion,-10.0,10.0,21.0,21.0,-12.0,12.0,29.0,29.0,-12.0,12.0,22.0,22.0,-12.0,12.0,29.0,29.0,37.51706513288979,42.060931136117915,0.23321309240064889,0.3120517872761343,0.29439252336448596,0.26635514018691586,-0.03523835846196825,-0.0749989076752529,1.0,0.0,2.0,0.0,1.0,1.0,8.0,7.0
Female_Expressions Confusion 02,Female,Expressions Confusion,-8.0,8.0,21.0,21.0,-23.0,23.0,21.0,21.0,-13.0,13.0,21.0,21.0,-23.0,23.0,21.0,21.0,41.491643638254324,41.421978333843086,0.27595021680136705,0.30756522729018027,0.1822429906542056,0.19158878504672897,-0.06263502039641977,-0.07702121068941098,1.0,1.0,15.0,10.0,0.0,0.0,0.0,0.0
Female_Expressions Confusion 03,Female,Expressions Confusion,-9.0,9.0,19.0,19.0,-10.0,10.0,20.0,20.0,-8.0,8.0,19.0,19.0,-10.0,10.0,20.0,20.0,40.158309163334216,42.308517549082495,0.25872589550285696,0.31431152274675456,0.08878504672897196,0.1822429906542056,-0.052216394760898344,-0.0747452949252084,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
Female_Expressions Confusion 04,Female,Expressions Confusion,-10.0,10.0,20.0,20.0,-9.0,9.0,20.0,20.0,-7.0,7.0,12.0,12.0,-9.0,9.0,20.0,20.0,40.17464958618734,40.48887581747269,0.26175099054229595,0.29450046542648955,0.0794392523364486,0.1822429906542056,-0.05338487224044087,-0.07307394809812029,0.0,1.0,-1.0,2.0,0.0,1.0,0.0,8.0
Female_Expressions Confusion 05,Female,Expressions Confusion,-8.0,8.0,23.0,23.0,-23.0,23.0,27.0,27.0,-21.0,21.0,27.0,27.0,-23.0,23.0,27.0,27.0,38.61262444023774,40.06900927340873,0.2414565604423808,0.2902894610556487,0.2102803738317757,0.26635514018691586,-0.037943248715356134,-0.0613657731876195,1.0,1.0,15.0,2.0,1.0,0.0,4.0,0.0
Female_Expressions Contempt 01,Female,Expressions Contempt,-10.0,10.0,20.0,20.0,-20.0,20.0,20.0,20.0,-10.0,10.0,17.0,17.0,-20.0,20.0,20.0,20.0,38.5216707871339,40.67837598000732,0.24369342889741202,0.29559726024342475,0.17289719626168223,0.1822429906542056,-0.04500673975899955,-0.06407070382733211,1.0,1.0,10.0,10.0,0.0,1.0,0.0,3.0
