folder,gender,expression,A_left_angle,A_left_abs_angle,A_right_angle,A_right_abs_angle,B_left_angle,B_left_abs_angle,B_right_angle,B_right_abs_angle,C_left_angle,C_left_abs_angle,C_right_angle,C_right_abs_angle,C_hard_left_angle,C_hard_left_abs_angle,C_hard_right_angle,C_hard_right_abs_angle,A_left_integrated_drift_deg,A_right_integrated_drift_deg,A_left_integrated_1_minus_cos,A_right_integrated_1_minus_cos,B_left_consistency_AUC,B_right_consistency_AUC,C_left_margin_AUC,C_right_margin_AUC,A_leads_B_left,C_leads_B_left,B_minus_A_left,B_minus_C_left,A_leads_B_right,C_leads_B_right,B_minus_A_right,B_minus_C_right
Female_Despise 02,Female,Despise,-9.0,9.0,10.0,10.0,-29.0,29.0,27.0,27.0,-28.0,28.0,25.0,25.0,-29.0,29.0,27.0,27.0,37.42789007347321,40.23272390009087,0.2274063923091532,0.2691659172561681,0.40654205607476634,0.3691588785046729,-0.013112036145736123,-0.02294570124037912,1.0,1.0,20.0,1.0,1.0,1.0,17.0,2.0
Female_Despise 03,Female,Despise,-9.0,9.0,11.0,11.0,-22.0,22.0,23.0,23.0,-20.0,20.0,21.0,21.0,-22.0,22.0,23.0,23.0,36.8870065457353,40.392088787577975,0.2203833240771962,0.26950323108200713,0.2757009345794392,0.2102803738317757,-0.018189620470332207,-0.03711220204273117,1.0,1.0,13.0,2.0,1.0,1.0,12.0,2.0
Female_Despise 04,Female,Despise,-9.0,9.0,10.0,10.0,-13.0,13.0,18.0,18.0,-10.0,10.0,17.0,17.0,-13.0,13.0,18.0,18.0,40.15669221744359,44.99702711194475,0.2578592974448872,0.3267487521483519,0.11682242990654206,0.16355140186915887,-0.05174939069792489,-0.07287229917873846,1.0,1.0,4.0,3.0,1.0,1.0,8.0,1.0
Female_Despise 05,Female,Despise,-10.0,10.0,12.0,12.0,-23.0,23.0,12.0,12.0,-21.0,21.0,8.0,8.0,-23.0,23.0,12.0,12.0,37.33532196561867,40.99296962435,0.2265345671466578,0.2772460707994265,0.2102803738317757,0.09813084112149532,-0.0251948811183466,-0.03959326432130047,1.0,1.0,13.0,2.0,0.0,1.0,0.0,4.0
Female_Determined,Female,Determined,-8.0,8.0,7.0,7.0,-19.0,19.0,21.0,21.0,-19.0,19.0,19.0,19.0,-19.0,19.0,21.0,21.0,38.71687086497512,38.88338392025957,0.24090059226918442,0.24348325902056472,0.16822429906542055,0.19626168224299065,-0.03810044008994771,-0.04147225562657151,1.0,0.0,11.0,0.0,1.0,1.0,14.0,2.0
Female_Distrust 01,Female,Distrust,-9.0,9.0,11.0,11.0,-11.0,11.0,13.0,13.0,-5.0,5.0,11.0,11.0,-11.0,11.0,13.0,13.0,41.03624186560372,42.627366634172816,0.27102623141814614,0.2983605538573221,0.09813084112149532,0.11682242990654206,-0.056089783244043866,-0.052615798940168365,1.0,1.0,2.0,6.0,1.0,1.0,2.0,2.0
Female_Distrust 02,Female,Distrust,-8.0,8.0,11.0,11.0,-9.0,9.0,6.0,6.0,-7.0,7.0,4.0,4.0,-9.0,9.0,6.0,6.0,40.98833205766767,43.2451691337835,0.2698566189436155,0.3051685197888134,0.0794392523364486,0.07009345794392523,-0.05598872872156518,-0.06185401544392666,1.0,1.0,1.0,2.0,0.0,1.0,-5.0,2.0
Female_Distrust 03,Female,Distrust,-9.0,9.0,11.0,11.0,-19.0,19.0,31.0,31.0,-18.0,18.0,30.0,30.0,-19.0,19.0,31.0,31.0,39.93743724020842,42.454930916010774,0.2577764609149683,0.2943398089052361,0.17289719626168223,0.2850467289719626,-0.036868285909991395,-0.03547745246753514,1.0,1.0,10.0,1.0,1.0,1.0,20.0,1.0
Female_Distrust 04,Female,Distrust,-8.0,8.0,11.0,11.0,-19.0,19.0,13.0,13.0,-15.0,15.0,13.0,13.0,-19.0,19.0,13.0,13.0,39.06871509329181,42.18995500056543,0.24564263029633282,0.29178750932773695,0.17289719626168223,0.14485981308411214,-0.04206870705167824,-0.05133845608368098,1.0,1.0,11.0,4.0,1.0,0.0,2.0,0.0
Female_Distrust 05,Female,Distrust,-7.0,7.0,11.0,11.0,-9.0,9.0,19.0,19.0,-8.0,8.0,18.0,18.0,-9.0,9.0,19.0,19.0,41.306739258989,44.047585694589344,0.2721040688942526,0.31558170246186656,0.0794392523364486,0.17289719626168223,-0.049350078835665626,-0.05384302640629706,1.0,1.0,2.0,1.0,1.0,1.0,8.0,1.0
Female_Empathy 01,Female,Empathy,-7.0,7.0,10.0,10.0,-9.0,9.0,11.0,11.0,-3.0,3.0,2.0,2.0,-9.0,9.0,11.0,11.0,40.72226762325964,45.781189735804766,0.2656239390930283,0.3359225030257323,0.0794392523364486,0.09813084112149532,-0.05492430535432334,-0.06426470524796815,1.0,1.0,2.0,6.0,1.0,1.0,1.0,9.0
Female_Empathy 02,Female,Empathy,-9.0,9.0,11.0,11.0,-17.0,17.0,19.0,19.0,-16.0,16.0,13.0,13.0,-17.0,17.0,19.0,19.0,38.63253056000326,43.30041279971042,0.24165417407160608,0.30618749489294034,0.1542056074766355,0.16355140186915887,-0.04900725756850198,-0.061545796483476585,1.0,1.0,8.0,1.0,1.0,1.0,8.0,6.0
