abs_angle,A_mean_drift_deg,A_median_drift_deg,A_mean_1_minus_cos,B_accuracy,C_mean_margin,C_median_margin,N
79.0,53.55856614034684,54.28689384460449,0.40860929945592855,0.04566744730679157,-0.050367911261194484,-0.04386207461357117,427
80.0,53.776205706093855,54.60251998901367,0.4115580608610247,0.0468384074941452,-0.05245466903724492,-0.045165836811065674,427
81.0,54.50154515340122,55.602909088134766,0.4218134693016213,0.03981264637002342,-0.05512941665336734,-0.04801987111568451,427
82.0,55.279174978894986,56.37424850463867,0.4330148267662218,0.03278688524590164,-0.05959663217324563,-0.05264997482299805,427
83.0,55.67842044874991,56.73295974731445,0.438681359732179,0.02927400468384075,-0.06371552753643911,-0.0562073290348053,427
84.0,55.937961046812966,56.899192810058594,0.4423423007444699,0.03161592505854801,-0.06628882385947386,-0.05860716104507446,427
85.0,56.326829208981515,57.0780029296875,0.44772906814302715,0.02459016393442623,-0.06918253594315861,-0.05829933285713196,427
86.0,56.714328457655895,57.02728271484375,0.45331814459392,0.0234192037470726,-0.07043008474890465,-0.05772334337234497,427
87.0,57.05751916228748,57.39960289001465,0.4582156411239079,0.026932084309133488,-0.07312195638164146,-0.06085789203643799,427
88.0,57.36925884488036,57.74867248535156,0.4626207005503027,0.02107728337236534,-0.07500839962752698,-0.06277355551719666,427
89.0,57.68239464860331,57.94831466674805,0.4670335307752221,0.01756440281030445,-0.0776479823876879,-0.06584277749061584,427
90.0,57.85148839034856,58.029714584350586,0.46940463041533353,0.01873536299765808,-0.08078194523025173,-0.07230034470558167,427
91.0,57.941275938333334,57.9747428894043,0.47074970240056935,0.01873536299765808,-0.08316469012783617,-0.0764818787574768,427
92.0,58.2677535162039,58.32209396362305,0.475468606105733,0.01288056206088993,-0.08665504468827392,-0.07937830686569214,427
93.0,59.25333957091428,59.22545051574707,0.49013024994305204,0.01053864168618267,-0.09359157109846834,-0.08707544207572937,427
94.0,59.314647102802645,59.56459999084473,0.4911868591079667,0.01522248243559719,-0.1007135164612071,-0.09533374011516571,427
95.0,59.597334917591105,60.106170654296875,0.49543540825330123,0.0117096018735363,-0.10532026781550057,-0.10089154541492462,427
96.0,59.9530812113849,60.215248107910156,0.5007205468011405,0.01288056206088993,-0.11074025461349889,-0.10901662707328796,427
97.0,60.46022886861404,60.7452507019043,0.5084445766877793,0.0117096018735363,-0.1171721703693515,-0.11423352360725403,427
98.0,60.77487013769932,61.06072998046875,0.513196558946748,0.0117096018735363,-0.12309045639473605,-0.12016770243644714,427
99.0,61.126377221851214,61.36133003234863,0.5184573224054287,0.00936768149882904,-0.1284655360483174,-0.12788419425487518,427
100.0,61.25950684201243,61.63470458984375,0.5204671173938823,0.00936768149882904,-0.13284361638146205,-0.13394472002983093,427
101.0,61.24357843957405,61.545793533325195,0.5202715253104091,0.00936768149882904,-0.13927010935349543,-0.14080126583576202,427
102.0,61.54080694676562,62.009572982788086,0.5248199984675548,0.00936768149882904,-0.14511258732658358,-0.14837399125099182,427
103.0,62.05047354597677,62.54194641113281,0.5325874233971715,0.00936768149882904,-0.15325344788386056,-0.15896518528461456,427
104.0,62.27126638336539,62.690351486206055,0.536038125775737,0.00819672131147541,-0.1589472938581987,-0.16312700510025024,427
105.0,62.67111253403389,63.156982421875,0.54218277530592,0.00585480093676815,-0.16230701740647926,-0.16823133826255798,427
106.0,62.973180703871144,63.58506202697754,0.5468871948730192,0.00819672131147541,-0.16526684889120574,-0.1709577739238739,427
107.0,63.15501938938257,63.78863716125488,0.5496808864891669,0.00936768149882904,-0.16762891581033376,-0.17341949045658112,427
