expression,side,A_before_B_female,mean_lead_female,median_lead_female,n_sequences_female,A_before_B_male,mean_lead_male,median_lead_male,n_sequences_male,rate_difference_female_minus_male,mean_lead_difference_female_minus_male
Empathy,right,1.0,9.4,8.0,5,0.6,3.4,3.0,5,0.4,6.0
Expressions Anger,left,1.0,8.6,11.0,5,1.0,13.0,12.0,5,0.0,-4.4
Expressions Anger,right,0.6,0.8,2.0,5,1.0,9.8,7.0,5,-0.4,-9.0
Expressions Confusion,left,0.8,6.4,2.0,5,1.0,10.8,10.0,5,-0.19999999999999996,-4.4
Expressions Confusion,right,0.6,2.6,1.0,5,0.8,5.0,6.0,5,-0.20000000000000007,-2.4
Expressions Contempt,left,0.8,9.4,10.0,5,1.0,10.8,15.0,5,-0.19999999999999996,-1.4000000000000004
Expressions Contempt,right,0.6,9.2,10.0,5,0.8,19.6,2.0,5,-0.20000000000000007,-10.400000000000002
Expressions Desire,left,0.8,15.0,11.0,5,1.0,23.0,7.0,5,-0.19999999999999996,-8.0
Expressions Desire,right,0.8,10.8,10.0,5,1.0,6.2,5.0,5,-0.19999999999999996,4.6000000000000005
Expressions Disgust,left,1.0,13.8,16.0,5,1.0,18.8,8.0,5,0.0,-5.0
Expressions Disgust,right,0.8,9.6,9.0,5,1.0,17.8,7.0,5,-0.19999999999999996,-8.200000000000001
Expressions Excitement,left,1.0,13.4,16.0,5,1.0,8.4,7.0,5,0.0,5.0
Expressions Excitement,right,0.4,3.2,-2.0,5,1.0,6.8,7.0,5,-0.6,-3.5999999999999996
Expressions Fear,left,1.0,8.0,9.0,5,1.0,6.2,8.0,5,0.0,1.7999999999999998
Expressions Fear,right,0.4,1.8,0.0,5,1.0,5.0,2.0,5,-0.6,-3.2
Expressions Happiness,left,1.0,15.8,16.0,5,1.0,18.8,17.0,5,0.0,-3.0
Expressions Happiness,right,0.6,2.8,3.0,5,1.0,13.8,8.0,5,-0.4,-11.0
Expressions Sadness,left,0.8,14.0,13.0,5,1.0,9.0,10.0,5,-0.19999999999999996,5.0
Expressions Sadness,right,0.4,5.0,0.0,5,1.0,4.8,4.0,5,-0.6,0.20000000000000018
Expressions Surprise,left,1.0,22.6,16.0,5,1.0,20.2,15.0,5,0.0,2.400000000000002
