excluded_expression,Female_left_A_before_B,Female_left_median_lead,Female_left_mean_lead,Female_right_A_before_B,Female_right_median_lead,Female_right_mean_lead,Male_left_A_before_B,Male_left_median_lead,Male_left_mean_lead,Male_right_A_before_B,Male_right_median_lead,Male_right_mean_lead
Cute,0.935,12.0,16.13,0.85,12.0,16.445,0.9675925925925926,10.0,14.61111111111111,0.9444444444444444,8.0,14.74537037037037
Despise,0.935,12.0,16.03,0.855,12.0,16.505,0.9722222222222222,9.5,14.532407407407407,0.9398148148148148,8.0,14.49074074074074
Determined,0.9362745098039216,12.0,15.96078431372549,0.8529411764705882,11.5,16.29901960784314,0.9681818181818181,9.5,14.45,0.9363636363636364,8.0,14.536363636363637
Distrust,0.935,12.0,16.205,0.855,12.0,16.56,0.9722222222222222,10.0,14.648148148148149,0.9398148148148148,8.0,14.777777777777779
Empathy,0.94,12.0,16.24,0.85,12.0,16.46,0.9675925925925926,10.0,14.657407407407407,0.9444444444444444,8.5,14.773148148148149
Expressions Anger,0.935,12.0,16.12,0.86,12.0,16.675,0.9675925925925926,9.0,14.425925925925926,0.9351851851851852,8.0,14.625
Expressions Confusion,0.94,12.0,16.175,0.86,12.0,16.63,0.9675925925925926,9.0,14.476851851851851,0.9398148148148148,8.0,14.73611111111111
Expressions Contempt,0.94,12.0,16.1,0.86,12.0,16.465,0.9675925925925926,9.0,14.476851851851851,0.9398148148148148,8.0,14.398148148148149
Expressions Desire,0.94,12.0,15.96,0.855,12.0,16.425,0.9675925925925926,9.5,14.194444444444445,0.9351851851851852,8.0,14.708333333333334
Expressions Disgust,0.935,12.0,15.99,0.855,12.0,16.455,0.9675925925925926,9.5,14.291666666666666,0.9351851851851852,8.0,14.439814814814815
Expressions Excitement,0.935,12.0,16.0,0.865,12.0,16.615,0.9675925925925926,9.5,14.532407407407407,0.9351851851851852,8.0,14.694444444444445
Expressions Fear,0.935,12.0,16.135,0.865,12.0,16.65,0.9675925925925926,10.0,14.583333333333334,0.9351851851851852,8.0,14.73611111111111
Expressions Happiness,0.935,11.0,15.94,0.86,12.0,16.625,0.9675925925925926,9.0,14.291666666666666,0.9351851851851852,8.0,14.532407407407407
Expressions Sadness,0.94,12.0,15.985,0.865,12.0,16.57,0.9675925925925926,9.0,14.518518518518519,0.9351851851851852,8.0,14.74074074074074
Expressions Surprise,0.935,12.0,15.77,0.85,12.0,16.31,0.9675925925925926,9.0,14.25925925925926,0.9351851851851852,8.0,14.564814814814815
Eyeglasses,0.9362745098039216,12.0,15.617647058823529,0.8529411764705882,11.5,15.96078431372549,0.9681818181818181,9.0,14.027272727272727,0.9363636363636364,8.0,14.127272727272727
Fear,0.935,11.0,15.695,0.85,11.0,16.18,0.9675925925925926,9.0,14.398148148148149,0.9351851851851852,8.0,14.61111111111111
Fierce Cutthroat,0.9362745098039216,12.0,15.950980392156863,0.8529411764705882,11.5,16.28921568627451,0.9681818181818181,9.0,14.354545454545455,0.9363636363636364,8.0,14.554545454545455
Fierce Fiery,0.9362745098039216,12.0,15.965686274509803,0.8529411764705882,12.0,16.313725490196077,0.9681818181818181,9.0,14.395454545454545,0.9363636363636364,8.0,14.518181818181818
Fierce Savage,0.9362745098039216,12.0,15.946078431372548,0.8529411764705882,11.5,15.990196078431373,0.9681818181818181,9.5,14.445454545454545,0.9363636363636364,8.0,14.477272727272727
Happy,0.935,12.0,16.105,0.85,12.0,16.46,0.9675925925925926,9.5,14.342592592592593,0.9398148148148148,8.0,14.680555555555555
Happy Elated,0.9362745098039216,12.0,15.950980392156863,0.8529411764705882,11.5,16.225490196078432,0.9681818181818181,9.0,14.404545454545454,0.9363636363636364,8.0,14.345454545454546
Happy Perky,0.9362745098039216,12.0,15.936274509803921,0.8529411764705882,11.5,16.254901960784313,0.9681818181818181,9.0,14.363636363636363,0.9363636363636364,8.0,14.481818181818182
Happy So Peaceful,0.9362745098039216,12.0,15.833333333333334,0.8529411764705882,11.5,16.17156862745098,0.9681818181818181,9.0,14.204545454545455,0.9363636363636364,8.0,14.295454545454545
Humiliated,0.9362745098039216,12.0,15.955882352941176,0.8529411764705882,11.5,16.25,0.9681818181818181,9.0,14.4,0.9363636363636364,8.0,14.545454545454545
Insanity Deranged,0.9362745098039216,12.0,15.843137254901961,0.8529411764705882,11.5,15.980392156862745,0.9681818181818181,9.0,14.413636363636364,0.9363636363636364,8.0,14.4
Insanity Go Cucko,0.9365853658536586,12.0,15.93658536585366,0.8536585365853658,12.0,16.28780487804878,0.9681818181818181,9.0,14.340909090909092,0.9363636363636364,8.0,14.504545454545454
Insanity Go Cuckoo,0.9362745098039216,12.0,15.955882352941176,0.8529411764705882,11.5,16.29901960784314,0.9683257918552036,9.0,14.393665158371041,0.9366515837104072,8.0,14.515837104072398
Insanity Going Crazy,0.9362745098039216,12.0,15.955882352941176,0.8529411764705882,11.5,16.279411764705884,0.9681818181818181,9.0,14.336363636363636,0.9363636363636364,8.0,14.427272727272728
Insanity Hostile,0.9362745098039216,12.0,15.784313725490197,0.8529411764705882,11.5,16.073529411764707,0.9681818181818181,9.0,14.372727272727273,0.9363636363636364,8.0,14.422727272727272
Insanity Lunatic,0.9362745098039216,12.0,15.980392156862745,0.8529411764705882,11.5,16.279411764705884,0.9681818181818181,9.5,14.445454545454545,0.9363636363636364,8.0,14.4
Joy,0.935,12.0,15.685,0.855,11.0,16.165,0.9675925925925926,9.0,14.078703703703704,0.9351851851851852,8.0,14.532407407407407
Judgemental,0.935,12.0,16.125,0.85,12.0,16.37,0.9675925925925926,10.0,14.569444444444445,0.9398148148148148,8.0,14.625
Nervous,0.9362745098039216,12.0,15.970588235294118,0.8529411764705882,12.0,16.357843137254903,0.9681818181818181,9.5,14.418181818181818,0.9363636363636364,8.0,14.563636363636364
Pain,0.935,11.5,15.675,0.85,11.0,15.965,0.9675925925925926,9.0,14.24074074074074,0.9351851851851852,8.0,14.398148148148149
Pain Illness,0.9362745098039216,12.0,15.848039215686274,0.8529411764705882,11.5,16.107843137254903,0.9681818181818181,9.0,14.404545454545454,0.9363636363636364,8.0,14.381818181818181
Playful,0.935,12.0,16.165,0.85,11.5,16.39,0.9675925925925926,10.0,14.587962962962964,0.9351851851851852,8.0,14.652777777777779
Pleasure Oo So Funny,0.9362745098039216,12.0,16.0,0.8529411764705882,12.0,16.34313725490196,0.9681818181818181,9.0,14.404545454545454,0.9363636363636364,8.0,14.522727272727273
Romantic,0.935,12.0,16.16,0.86,11.5,16.415,0.9675925925925926,10.0,14.63425925925926,0.9398148148148148,8.5,14.796296296296296
S Wink,0.9362745098039216,12.0,15.764705882352942,0.8529411764705882,11.5,16.122549019607842,0.9681818181818181,9.0,14.245454545454546,0.9363636363636364,8.0,14.486363636363636
Sad,0.94,12.0,16.22,0.85,12.0,16.38,0.9722222222222222,9.0,14.49537037037037,0.9351851851851852,8.0,14.680555555555555
Scream,0.9362745098039216,12.0,15.995098039215685,0.8529411764705882,11.5,16.30392156862745,0.9681818181818181,9.5,14.45,0.9363636363636364,8.0,14.518181818181818
Seriousness,0.945,12.0,16.19,0.855,12.0,16.655,0.9675925925925926,9.5,14.560185185185185,0.9444444444444444,8.5,14.800925925925926
