folder,expression,sex_identity,appearance_identity,identity_family,side,A_view,C_view,B_view,A_distance,C_distance,B_distance,A_B_lead,A_before_B,n_viewpoints,reference_viewpoint,true_folder
Female_Talking 01,Talking,Female,Female_Base,Female,left,98.0,97.0,96.0,9,10.0,11.0,2.0,1,215,107,Female_Talking 01
Female_Talking 01,Talking,Female,Female_Base,Female,right,119.0,130.0,130.0,12,23.0,23.0,11.0,1,215,107,Female_Talking 01
Female_Talking 02,Talking,Female,Female_Base,Female,left,98.0,88.0,83.0,9,19.0,24.0,15.0,1,215,107,Female_Talking 02
Female_Talking 02,Talking,Female,Female_Base,Female,right,119.0,130.0,130.0,12,23.0,23.0,11.0,1,215,107,Female_Talking 02
Female_Talking 03,Talking,Female,Female_Base,Female,left,96.0,84.0,58.0,11,23.0,49.0,38.0,1,215,107,Female_Talking 03
Female_Talking 03,Talking,Female,Female_Base,Female,right,119.0,127.0,127.0,12,20.0,20.0,8.0,1,215,107,Female_Talking 03
Female_Talking 04,Talking,Female,Female_Base,Female,left,98.0,90.0,90.0,9,17.0,17.0,8.0,1,215,107,Female_Talking 04
Female_Talking 04,Talking,Female,Female_Base,Female,right,119.0,140.0,141.0,12,33.0,34.0,22.0,1,215,107,Female_Talking 04
Female_Talking 05,Talking,Female,Female_Base,Female,left,98.0,95.0,94.0,9,12.0,13.0,4.0,1,215,107,Female_Talking 05
Female_Talking 05,Talking,Female,Female_Base,Female,right,118.0,121.0,123.0,11,14.0,16.0,5.0,1,215,107,Female_Talking 05
Female_Terror,Terror,Female,Female_Base,Female,left,98.0,78.0,71.0,9,29.0,36.0,27.0,1,215,107,Female_Terror
Female_Terror,Terror,Female,Female_Base,Female,right,116.0,136.0,141.0,9,29.0,34.0,25.0,1,215,107,Female_Terror
Female_Terror Phobia,Terror Phobia,Female,Female_Base,Female,left,97.0,84.0,84.0,10,23.0,23.0,13.0,1,215,107,Female_Terror Phobia
Female_Terror Phobia,Terror Phobia,Female,Female_Base,Female,right,115.0,133.0,134.0,8,26.0,27.0,19.0,1,215,107,Female_Terror Phobia
Female_Ulgh,Ulgh,Female,Female_Base,Female,left,100.0,93.0,44.0,7,14.0,63.0,56.0,1,215,107,Female_Ulgh
Female_Ulgh,Ulgh,Female,Female_Base,Female,right,116.0,175.0,176.0,9,68.0,69.0,60.0,1,215,107,Female_Ulgh
Female_Wicked 01,Wicked,Female,Female_Base,Female,left,98.0,81.0,79.0,9,26.0,28.0,19.0,1,215,107,Female_Wicked 01
Female_Wicked 01,Wicked,Female,Female_Base,Female,right,118.0,129.0,136.0,11,22.0,29.0,18.0,1,215,107,Female_Wicked 01
Female_Wicked 02,Wicked,Female,Female_Base,Female,left,98.0,88.0,87.0,9,19.0,20.0,11.0,1,215,107,Female_Wicked 02
Female_Wicked 02,Wicked,Female,Female_Base,Female,right,119.0,132.0,134.0,12,25.0,27.0,15.0,1,215,107,Female_Wicked 02
Female_Wicked 03,Wicked,Female,Female_Base,Female,left,99.0,81.0,80.0,8,26.0,27.0,19.0,1,215,107,Female_Wicked 03
Female_Wicked 03,Wicked,Female,Female_Base,Female,right,118.0,142.0,143.0,11,35.0,36.0,25.0,1,215,107,Female_Wicked 03
Female_Wicked 04,Wicked,Female,Female_Base,Female,left,97.0,106.0,102.0,10,1.0,5.0,-5.0,0,215,107,Female_Wicked 04
Female_Wicked 04,Wicked,Female,Female_Base,Female,right,116.0,108.0,114.0,9,1.0,7.0,-2.0,0,215,107,Female_Wicked 04
Female_Wicked 05,Wicked,Female,Female_Base,Female,left,97.0,106.0,106.0,10,1.0,1.0,-9.0,0,215,107,Female_Wicked 05
Female_Wicked 05,Wicked,Female,Female_Base,Female,right,116.0,108.0,120.0,9,1.0,13.0,4.0,1,215,107,Female_Wicked 05
Female_Wink,Wink,Female,Female_Base,Female,left,98.0,50.0,41.0,9,57.0,66.0,57.0,1,215,107,Female_Wink
Female_Wink,Wink,Female,Female_Base,Female,right,119.0,139.0,139.0,12,32.0,32.0,20.0,1,215,107,Female_Wink
Female_With Forehead Wrinkles Angry 01,With Forehead Wrinkles Angry,Female,Female_Base,Female,left,100.0,98.0,89.0,7,9.0,18.0,11.0,1,215,107,Female_With Forehead Wrinkles Angry 01
Female_With Forehead Wrinkles Angry 01,With Forehead Wrinkles Angry,Female,Female_Base,Female,right,116.0,112.0,115.0,9,5.0,8.0,-1.0,0,215,107,Female_With Forehead Wrinkles Angry 01
Female_With Forehead Wrinkles Angry 02,With Forehead Wrinkles Angry,Female,Female_Base,Female,left,96.0,99.0,80.0,11,8.0,27.0,16.0,1,215,107,Female_With Forehead Wrinkles Angry 02
Female_With Forehead Wrinkles Angry 02,With Forehead Wrinkles Angry,Female,Female_Base,Female,right,120.0,113.0,131.0,13,6.0,24.0,11.0,1,215,107,Female_With Forehead Wrinkles Angry 02
Female_With Forehead Wrinkles Angry 03,With Forehead Wrinkles Angry,Female,Female_Base,Female,left,98.0,91.0,91.0,9,16.0,16.0,7.0,1,215,107,Female_With Forehead Wrinkles Angry 03
Female_With Forehead Wrinkles Angry 03,With Forehead Wrinkles Angry,Female,Female_Base,Female,right,116.0,129.0,130.0,9,22.0,23.0,14.0,1,215,107,Female_With Forehead Wrinkles Angry 03
Female_With Forehead Wrinkles Angry 04,With Forehead Wrinkles Angry,Female,Female_Base,Female,left,98.0,89.0,89.0,9,18.0,18.0,9.0,1,215,107,Female_With Forehead Wrinkles Angry 04
Female_With Forehead Wrinkles Angry 04,With Forehead Wrinkles Angry,Female,Female_Base,Female,right,117.0,127.0,127.0,10,20.0,20.0,10.0,1,215,107,Female_With Forehead Wrinkles Angry 04
Female_With Forehead Wrinkles Angry 05,With Forehead Wrinkles Angry,Female,Female_Base,Female,left,95.0,75.0,63.0,12,32.0,44.0,32.0,1,215,107,Female_With Forehead Wrinkles Angry 05
Female_With Forehead Wrinkles Angry 05,With Forehead Wrinkles Angry,Female,Female_Base,Female,right,118.0,134.0,134.0,11,27.0,27.0,16.0,1,215,107,Female_With Forehead Wrinkles Angry 05
Female_ZMouth Open Horizontal,ZMouth Open Horizontal,Female,Female_Base,Female,left,97.0,96.0,95.0,10,11.0,12.0,2.0,1,215,107,Female_ZMouth Open Horizontal
Female_ZMouth Open Horizontal,ZMouth Open Horizontal,Female,Female_Base,Female,right,118.0,120.0,125.0,11,13.0,18.0,7.0,1,215,107,Female_ZMouth Open Horizontal
Female_ZMouth Open Horizontal And Vertical,ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,left,97.0,84.0,83.0,10,23.0,24.0,14.0,1,215,107,Female_ZMouth Open Horizontal And Vertical
Female_ZMouth Open Horizontal And Vertical,ZMouth Open Horizontal And Vertical,Female,Female_Base,Female,right,118.0,130.0,131.0,11,23.0,24.0,13.0,1,215,107,Female_ZMouth Open Horizontal And Vertical
Male_+10,+10,Male,Male_Base,Male,left,102.0,93.0,91.0,5,14.0,16.0,11.0,1,215,107,Male_+10
Male_+10,+10,Male,Male_Base,Male,right,108.0,121.0,123.0,1,14.0,16.0,15.0,1,215,107,Male_+10
Male_+20,+20,Male,Male_Base,Male,left,101.0,93.0,90.0,6,14.0,17.0,11.0,1,215,107,Male_+20
Male_+20,+20,Male,Male_Base,Male,right,111.0,125.0,126.0,4,18.0,19.0,15.0,1,215,107,Male_+20
Male_+20_ZMouth Open Horizontal And Vertical,+20_ZMouth Open Horizontal And Vertical,Male,Male_Base,Male,left,98.0,68.0,67.0,9,39.0,40.0,31.0,1,215,107,Male_+20_ZMouth Open Horizontal And Vertical
Male_+20_ZMouth Open Horizontal And Vertical,+20_ZMouth Open Horizontal And Vertical,Male,Male_Base,Male,right,114.0,147.0,147.0,7,40.0,40.0,33.0,1,215,107,Male_+20_ZMouth Open Horizontal And Vertical
Male_+30,+30,Male,Male_Base,Male,left,100.0,77.0,77.0,7,30.0,30.0,23.0,1,215,107,Male_+30
Male_+30,+30,Male,Male_Base,Male,right,112.0,137.0,140.0,5,30.0,33.0,28.0,1,215,107,Male_+30
Male_+40,+40,Male,Male_Base,Male,left,99.0,96.0,92.0,8,11.0,15.0,7.0,1,215,107,Male_+40
Male_+40,+40,Male,Male_Base,Male,right,113.0,123.0,124.0,6,16.0,17.0,11.0,1,215,107,Male_+40
Male_+50,+50,Male,Male_Base,Male,left,99.0,37.0,37.0,8,70.0,70.0,62.0,1,215,107,Male_+50
Male_+50,+50,Male,Male_Base,Male,right,115.0,176.0,179.0,8,69.0,72.0,64.0,1,215,107,Male_+50
Male_+50_ZMouth Open Horizontal And Vertical,+50_ZMouth Open Horizontal And Vertical,Male,Male_Base,Male,left,99.0,67.0,66.0,8,40.0,41.0,33.0,1,215,107,Male_+50_ZMouth Open Horizontal And Vertical
Male_+50_ZMouth Open Horizontal And Vertical,+50_ZMouth Open Horizontal And Vertical,Male,Male_Base,Male,right,113.0,156.0,156.0,6,49.0,49.0,43.0,1,215,107,Male_+50_ZMouth Open Horizontal And Vertical
Male_-10,-10,Male,Male_Base,Male,left,100.0,90.0,89.0,7,17.0,18.0,11.0,1,215,107,Male_-10
Male_-10,-10,Male,Male_Base,Male,right,108.0,126.0,160.0,1,19.0,53.0,52.0,1,215,107,Male_-10
Male_-10_ZMouth Open Horizontal And Vertical,-10_ZMouth Open Horizontal And Vertical,Male,Male_Base,Male,left,97.0,85.0,85.0,10,22.0,22.0,12.0,1,215,107,Male_-10_ZMouth Open Horizontal And Vertical
Male_-10_ZMouth Open Horizontal And Vertical,-10_ZMouth Open Horizontal And Vertical,Male,Male_Base,Male,right,115.0,124.0,125.0,8,17.0,18.0,10.0,1,215,107,Male_-10_ZMouth Open Horizontal And Vertical
Male_-20,-20,Male,Male_Base,Male,left,98.0,80.0,80.0,9,27.0,27.0,18.0,1,215,107,Male_-20
Male_-20,-20,Male,Male_Base,Male,right,108.0,139.0,142.0,1,32.0,35.0,34.0,1,215,107,Male_-20
Male_-20_ZMouth Open Horizontal And Vertical,-20_ZMouth Open Horizontal And Vertical,Male,Male_Base,Male,left,99.0,50.0,45.0,8,57.0,62.0,54.0,1,215,107,Male_-20_ZMouth Open Horizontal And Vertical
Male_-20_ZMouth Open Horizontal And Vertical,-20_ZMouth Open Horizontal And Vertical,Male,Male_Base,Male,right,116.0,161.0,162.0,9,54.0,55.0,46.0,1,215,107,Male_-20_ZMouth Open Horizontal And Vertical
Male_-30,-30,Male,Male_Base,Male,left,100.0,100.0,100.0,7,7.0,7.0,0.0,0,215,107,Male_-30
Male_-30,-30,Male,Male_Base,Male,right,109.0,116.0,118.0,2,9.0,11.0,9.0,1,215,107,Male_-30
Male_-40,-40,Male,Male_Base,Male,left,101.0,91.0,91.0,6,16.0,16.0,10.0,1,215,107,Male_-40
Male_-40,-40,Male,Male_Base,Male,right,112.0,123.0,124.0,5,16.0,17.0,12.0,1,215,107,Male_-40
Male_-50,-50,Male,Male_Base,Male,left,98.0,34.0,31.0,9,73.0,76.0,67.0,1,215,107,Male_-50
Male_-50,-50,Male,Male_Base,Male,right,112.0,174.0,174.0,5,67.0,67.0,62.0,1,215,107,Male_-50
Male_-60,-60,Male,Male_Base,Male,left,101.0,89.0,89.0,6,18.0,18.0,12.0,1,215,107,Male_-60
Male_-60,-60,Male,Male_Base,Male,right,113.0,132.0,132.0,6,25.0,25.0,19.0,1,215,107,Male_-60
Male_0,0,Male,Male_Base,Male,left,101.0,92.0,92.0,6,15.0,15.0,9.0,1,215,107,Male_0
Male_0,0,Male,Male_Base,Male,right,108.0,123.0,124.0,1,16.0,17.0,16.0,1,215,107,Male_0
Male_Angry 01,Angry,Male,Male_Base,Male,left,102.0,106.0,97.0,5,1.0,10.0,5.0,1,215,107,Male_Angry 01
Male_Angry 01,Angry,Male,Male_Base,Male,right,113.0,112.0,144.0,6,5.0,37.0,31.0,1,215,107,Male_Angry 01
Male_Angry 02,Angry,Male,Male_Base,Male,left,100.0,103.0,76.0,7,4.0,31.0,24.0,1,215,107,Male_Angry 02
Male_Angry 02,Angry,Male,Male_Base,Male,right,117.0,129.0,135.0,10,22.0,28.0,18.0,1,215,107,Male_Angry 02
Male_Angry 03,Angry,Male,Male_Base,Male,left,101.0,95.0,94.0,6,12.0,13.0,7.0,1,215,107,Male_Angry 03
Male_Angry 03,Angry,Male,Male_Base,Male,right,113.0,117.0,118.0,6,10.0,11.0,5.0,1,215,107,Male_Angry 03
Male_Angry 04,Angry,Male,Male_Base,Male,left,101.0,98.0,98.0,6,9.0,9.0,3.0,1,215,107,Male_Angry 04
Male_Angry 04,Angry,Male,Male_Base,Male,right,114.0,114.0,115.0,7,7.0,8.0,1.0,1,215,107,Male_Angry 04
Male_Angry 05,Angry,Male,Male_Base,Male,left,101.0,83.0,81.0,6,24.0,26.0,20.0,1,215,107,Male_Angry 05
Male_Angry 05,Angry,Male,Male_Base,Male,right,111.0,127.0,129.0,4,20.0,22.0,18.0,1,215,107,Male_Angry 05
Male_Anguish,Anguish,Male,Male_Base,Male,left,101.0,98.0,98.0,6,9.0,9.0,3.0,1,215,107,Male_Anguish
Male_Anguish,Anguish,Male,Male_Base,Male,right,113.0,126.0,126.0,6,19.0,19.0,13.0,1,215,107,Male_Anguish
Male_Animosity Growl,Animosity Growl,Male,Male_Base,Male,left,100.0,106.0,106.0,7,1.0,1.0,-6.0,0,215,107,Male_Animosity Growl
Male_Animosity Growl,Animosity Growl,Male,Male_Base,Male,right,108.0,108.0,128.0,1,1.0,21.0,20.0,1,215,107,Male_Animosity Growl
Male_Animosity Rebellious,Animosity Rebellious,Male,Male_Base,Male,left,100.0,62.0,62.0,7,45.0,45.0,38.0,1,215,107,Male_Animosity Rebellious
Male_Animosity Rebellious,Animosity Rebellious,Male,Male_Base,Male,right,110.0,152.0,152.0,3,45.0,45.0,42.0,1,215,107,Male_Animosity Rebellious
Male_Bored 01,Bored,Male,Male_Base,Male,left,101.0,98.0,96.0,6,9.0,11.0,5.0,1,215,107,Male_Bored 01
Male_Bored 01,Bored,Male,Male_Base,Male,right,114.0,116.0,116.0,7,9.0,9.0,2.0,1,215,107,Male_Bored 01
Male_Bored 03,Bored,Male,Male_Base,Male,left,101.0,101.0,100.0,6,6.0,7.0,1.0,1,215,107,Male_Bored 03
Male_Bored 03,Bored,Male,Male_Base,Male,right,114.0,112.0,114.0,7,5.0,7.0,0.0,0,215,107,Male_Bored 03
Male_Bored 04,Bored,Male,Male_Base,Male,left,101.0,96.0,96.0,6,11.0,11.0,5.0,1,215,107,Male_Bored 04
Male_Bored 04,Bored,Male,Male_Base,Male,right,114.0,120.0,129.0,7,13.0,22.0,15.0,1,215,107,Male_Bored 04
Male_Bored 05,Bored,Male,Male_Base,Male,left,102.0,102.0,101.0,5,5.0,6.0,1.0,1,215,107,Male_Bored 05
Male_Bored 05,Bored,Male,Male_Base,Male,right,114.0,119.0,120.0,7,12.0,13.0,6.0,1,215,107,Male_Bored 05
Male_BreathTaking Over The Moon,BreathTaking Over The Moon,Male,Male_Base,Male,left,100.0,106.0,102.0,7,1.0,5.0,-2.0,0,215,107,Male_BreathTaking Over The Moon
Male_BreathTaking Over The Moon,BreathTaking Over The Moon,Male,Male_Base,Male,right,108.0,108.0,112.0,1,1.0,5.0,4.0,1,215,107,Male_BreathTaking Over The Moon
Male_Chewing,Chewing,Male,Male_Base,Male,left,100.0,98.0,96.0,7,9.0,11.0,4.0,1,215,107,Male_Chewing
Male_Chewing,Chewing,Male,Male_Base,Male,right,116.0,118.0,118.0,9,11.0,11.0,2.0,1,215,107,Male_Chewing
Male_Choking,Choking,Male,Male_Base,Male,left,100.0,85.0,85.0,7,22.0,22.0,15.0,1,215,107,Male_Choking
Male_Choking,Choking,Male,Male_Base,Male,right,112.0,129.0,129.0,5,22.0,22.0,17.0,1,215,107,Male_Choking
Male_Coughing,Coughing,Male,Male_Base,Male,left,100.0,101.0,100.0,7,6.0,7.0,0.0,0,215,107,Male_Coughing
Male_Coughing,Coughing,Male,Male_Base,Male,right,113.0,115.0,121.0,6,8.0,14.0,8.0,1,215,107,Male_Coughing
Male_Crazed,Crazed,Male,Male_Base,Male,left,100.0,58.0,58.0,7,49.0,49.0,42.0,1,215,107,Male_Crazed
Male_Crazed,Crazed,Male,Male_Base,Male,right,109.0,165.0,166.0,2,58.0,59.0,57.0,1,215,107,Male_Crazed
Male_Crying,Crying,Male,Male_Base,Male,left,101.0,97.0,97.0,6,10.0,10.0,4.0,1,215,107,Male_Crying
Male_Crying,Crying,Male,Male_Base,Male,right,115.0,115.0,116.0,8,8.0,9.0,1.0,1,215,107,Male_Crying
Male_Cute 01,Cute,Male,Male_Base,Male,left,102.0,99.0,97.0,5,8.0,10.0,5.0,1,215,107,Male_Cute 01
Male_Cute 01,Cute,Male,Male_Base,Male,right,114.0,116.0,117.0,7,9.0,10.0,3.0,1,215,107,Male_Cute 01
Male_Cute 02,Cute,Male,Male_Base,Male,left,101.0,104.0,97.0,6,3.0,10.0,4.0,1,215,107,Male_Cute 02
Male_Cute 02,Cute,Male,Male_Base,Male,right,114.0,112.0,113.0,7,5.0,6.0,-1.0,0,215,107,Male_Cute 02
Male_Cute 03,Cute,Male,Male_Base,Male,left,102.0,95.0,94.0,5,12.0,13.0,8.0,1,215,107,Male_Cute 03
Male_Cute 03,Cute,Male,Male_Base,Male,right,114.0,129.0,132.0,7,22.0,25.0,18.0,1,215,107,Male_Cute 03
Male_Cute 04,Cute,Male,Male_Base,Male,left,101.0,97.0,97.0,6,10.0,10.0,4.0,1,215,107,Male_Cute 04
Male_Cute 04,Cute,Male,Male_Base,Male,right,115.0,118.0,119.0,8,11.0,12.0,4.0,1,215,107,Male_Cute 04
Male_Cute 05,Cute,Male,Male_Base,Male,left,100.0,100.0,96.0,7,7.0,11.0,4.0,1,215,107,Male_Cute 05
Male_Cute 05,Cute,Male,Male_Base,Male,right,115.0,112.0,114.0,8,5.0,7.0,-1.0,0,215,107,Male_Cute 05
Male_Despise 01,Despise,Male,Male_Base,Male,left,102.0,102.0,99.0,5,5.0,8.0,3.0,1,215,107,Male_Despise 01
Male_Despise 01,Despise,Male,Male_Base,Male,right,112.0,117.0,117.0,5,10.0,10.0,5.0,1,215,107,Male_Despise 01
Male_Despise 02,Despise,Male,Male_Base,Male,left,102.0,86.0,86.0,5,21.0,21.0,16.0,1,215,107,Male_Despise 02
Male_Despise 02,Despise,Male,Male_Base,Male,right,112.0,137.0,171.0,5,30.0,64.0,59.0,1,215,107,Male_Despise 02
Male_Despise 03,Despise,Male,Male_Base,Male,left,102.0,84.0,84.0,5,23.0,23.0,18.0,1,215,107,Male_Despise 03
Male_Despise 03,Despise,Male,Male_Base,Male,right,115.0,118.0,123.0,8,11.0,16.0,8.0,1,215,107,Male_Despise 03
Male_Despise 04,Despise,Male,Male_Base,Male,left,100.0,96.0,95.0,7,11.0,12.0,5.0,1,215,107,Male_Despise 04
Male_Despise 04,Despise,Male,Male_Base,Male,right,113.0,120.0,120.0,6,13.0,13.0,7.0,1,215,107,Male_Despise 04
Male_Despise 05,Despise,Male,Male_Base,Male,left,101.0,101.0,101.0,6,6.0,6.0,0.0,0,215,107,Male_Despise 05
Male_Despise 05,Despise,Male,Male_Base,Male,right,114.0,111.0,113.0,7,4.0,6.0,-1.0,0,215,107,Male_Despise 05
Male_Determined,Determined,Male,Male_Base,Male,left,101.0,106.0,99.0,6,1.0,8.0,2.0,1,215,107,Male_Determined
Male_Determined,Determined,Male,Male_Base,Male,right,108.0,118.0,118.0,1,11.0,11.0,10.0,1,215,107,Male_Determined
Male_Distrust 01,Distrust,Male,Male_Base,Male,left,101.0,102.0,90.0,6,5.0,17.0,11.0,1,215,107,Male_Distrust 01
Male_Distrust 01,Distrust,Male,Male_Base,Male,right,114.0,117.0,118.0,7,10.0,11.0,4.0,1,215,107,Male_Distrust 01
Male_Distrust 02,Distrust,Male,Male_Base,Male,left,100.0,101.0,99.0,7,6.0,8.0,1.0,1,215,107,Male_Distrust 02
Male_Distrust 02,Distrust,Male,Male_Base,Male,right,115.0,115.0,116.0,8,8.0,9.0,1.0,1,215,107,Male_Distrust 02
Male_Distrust 03,Distrust,Male,Male_Base,Male,left,102.0,103.0,102.0,5,4.0,5.0,0.0,0,215,107,Male_Distrust 03
Male_Distrust 03,Distrust,Male,Male_Base,Male,right,113.0,115.0,116.0,6,8.0,9.0,3.0,1,215,107,Male_Distrust 03
Male_Distrust 04,Distrust,Male,Male_Base,Male,left,100.0,101.0,99.0,7,6.0,8.0,1.0,1,215,107,Male_Distrust 04
Male_Distrust 04,Distrust,Male,Male_Base,Male,right,114.0,111.0,113.0,7,4.0,6.0,-1.0,0,215,107,Male_Distrust 04
Male_Distrust 05,Distrust,Male,Male_Base,Male,left,101.0,98.0,97.0,6,9.0,10.0,4.0,1,215,107,Male_Distrust 05
Male_Distrust 05,Distrust,Male,Male_Base,Male,right,114.0,122.0,123.0,7,15.0,16.0,9.0,1,215,107,Male_Distrust 05
Male_Empathy 01,Empathy,Male,Male_Base,Male,left,101.0,105.0,99.0,6,2.0,8.0,2.0,1,215,107,Male_Empathy 01
Male_Empathy 01,Empathy,Male,Male_Base,Male,right,113.0,112.0,113.0,6,5.0,6.0,0.0,0,215,107,Male_Empathy 01
Male_Empathy 02,Empathy,Male,Male_Base,Male,left,100.0,98.0,97.0,7,9.0,10.0,3.0,1,215,107,Male_Empathy 02
Male_Empathy 02,Empathy,Male,Male_Base,Male,right,115.0,117.0,118.0,8,10.0,11.0,3.0,1,215,107,Male_Empathy 02
Male_Empathy 03,Empathy,Male,Male_Base,Male,left,102.0,103.0,97.0,5,4.0,10.0,5.0,1,215,107,Male_Empathy 03
Male_Empathy 03,Empathy,Male,Male_Base,Male,right,113.0,121.0,121.0,6,14.0,14.0,8.0,1,215,107,Male_Empathy 03
Male_Empathy 04,Empathy,Male,Male_Base,Male,left,99.0,97.0,95.0,8,10.0,12.0,4.0,1,215,107,Male_Empathy 04
Male_Empathy 04,Empathy,Male,Male_Base,Male,right,116.0,112.0,116.0,9,5.0,9.0,0.0,0,215,107,Male_Empathy 04
Male_Empathy 05,Empathy,Male,Male_Base,Male,left,100.0,101.0,99.0,7,6.0,8.0,1.0,1,215,107,Male_Empathy 05
Male_Empathy 05,Empathy,Male,Male_Base,Male,right,116.0,122.0,122.0,9,15.0,15.0,6.0,1,215,107,Male_Empathy 05
Male_Expressions Anger 01,Expressions Anger,Male,Male_Base,Male,left,102.0,97.0,92.0,5,10.0,15.0,10.0,1,215,107,Male_Expressions Anger 01
Male_Expressions Anger 01,Expressions Anger,Male,Male_Base,Male,right,116.0,118.0,125.0,9,11.0,18.0,9.0,1,215,107,Male_Expressions Anger 01
Male_Expressions Anger 02,Expressions Anger,Male,Male_Base,Male,left,102.0,74.0,74.0,5,33.0,33.0,28.0,1,215,107,Male_Expressions Anger 02
Male_Expressions Anger 02,Expressions Anger,Male,Male_Base,Male,right,113.0,118.0,120.0,6,11.0,13.0,7.0,1,215,107,Male_Expressions Anger 02
Male_Expressions Anger 03,Expressions Anger,Male,Male_Base,Male,left,101.0,100.0,99.0,6,7.0,8.0,2.0,1,215,107,Male_Expressions Anger 03
Male_Expressions Anger 03,Expressions Anger,Male,Male_Base,Male,right,114.0,115.0,116.0,7,8.0,9.0,2.0,1,215,107,Male_Expressions Anger 03
Male_Expressions Anger 04,Expressions Anger,Male,Male_Base,Male,left,98.0,86.0,85.0,9,21.0,22.0,13.0,1,215,107,Male_Expressions Anger 04
Male_Expressions Anger 04,Expressions Anger,Male,Male_Base,Male,right,112.0,119.0,119.0,5,12.0,12.0,7.0,1,215,107,Male_Expressions Anger 04
Male_Expressions Anger 05,Expressions Anger,Male,Male_Base,Male,left,101.0,89.0,89.0,6,18.0,18.0,12.0,1,215,107,Male_Expressions Anger 05
Male_Expressions Anger 05,Expressions Anger,Male,Male_Base,Male,right,113.0,137.0,137.0,6,30.0,30.0,24.0,1,215,107,Male_Expressions Anger 05
Male_Expressions Confusion 01,Expressions Confusion,Male,Male_Base,Male,left,103.0,84.0,78.0,4,23.0,29.0,25.0,1,215,107,Male_Expressions Confusion 01
Male_Expressions Confusion 01,Expressions Confusion,Male,Male_Base,Male,right,112.0,117.0,118.0,5,10.0,11.0,6.0,1,215,107,Male_Expressions Confusion 01
Male_Expressions Confusion 02,Expressions Confusion,Male,Male_Base,Male,left,100.0,91.0,90.0,7,16.0,17.0,10.0,1,215,107,Male_Expressions Confusion 02
Male_Expressions Confusion 02,Expressions Confusion,Male,Male_Base,Male,right,115.0,121.0,121.0,8,14.0,14.0,6.0,1,215,107,Male_Expressions Confusion 02
Male_Expressions Confusion 03,Expressions Confusion,Male,Male_Base,Male,left,101.0,99.0,98.0,6,8.0,9.0,3.0,1,215,107,Male_Expressions Confusion 03
Male_Expressions Confusion 03,Expressions Confusion,Male,Male_Base,Male,right,114.0,114.0,114.0,7,7.0,7.0,0.0,0,215,107,Male_Expressions Confusion 03
Male_Expressions Confusion 04,Expressions Confusion,Male,Male_Base,Male,left,101.0,102.0,98.0,6,5.0,9.0,3.0,1,215,107,Male_Expressions Confusion 04
Male_Expressions Confusion 04,Expressions Confusion,Male,Male_Base,Male,right,114.0,125.0,125.0,7,18.0,18.0,11.0,1,215,107,Male_Expressions Confusion 04
Male_Expressions Confusion 05,Expressions Confusion,Male,Male_Base,Male,left,102.0,89.0,89.0,5,18.0,18.0,13.0,1,215,107,Male_Expressions Confusion 05
Male_Expressions Confusion 05,Expressions Confusion,Male,Male_Base,Male,right,116.0,117.0,118.0,9,10.0,11.0,2.0,1,215,107,Male_Expressions Confusion 05
Male_Expressions Contempt 01,Expressions Contempt,Male,Male_Base,Male,left,102.0,86.0,86.0,5,21.0,21.0,16.0,1,215,107,Male_Expressions Contempt 01
Male_Expressions Contempt 01,Expressions Contempt,Male,Male_Base,Male,right,115.0,116.0,117.0,8,9.0,10.0,2.0,1,215,107,Male_Expressions Contempt 01
Male_Expressions Contempt 02,Expressions Contempt,Male,Male_Base,Male,left,102.0,101.0,98.0,5,6.0,9.0,4.0,1,215,107,Male_Expressions Contempt 02
Male_Expressions Contempt 02,Expressions Contempt,Male,Male_Base,Male,right,114.0,125.0,126.0,7,18.0,19.0,12.0,1,215,107,Male_Expressions Contempt 02
Male_Expressions Contempt 03,Expressions Contempt,Male,Male_Base,Male,left,102.0,89.0,86.0,5,18.0,21.0,16.0,1,215,107,Male_Expressions Contempt 03
Male_Expressions Contempt 03,Expressions Contempt,Male,Male_Base,Male,right,115.0,117.0,117.0,8,10.0,10.0,2.0,1,215,107,Male_Expressions Contempt 03
Male_Expressions Contempt 04,Expressions Contempt,Male,Male_Base,Male,left,101.0,101.0,98.0,6,6.0,9.0,3.0,1,215,107,Male_Expressions Contempt 04
Male_Expressions Contempt 04,Expressions Contempt,Male,Male_Base,Male,right,116.0,114.0,114.0,9,7.0,7.0,-2.0,0,215,107,Male_Expressions Contempt 04
Male_Expressions Contempt 05,Expressions Contempt,Male,Male_Base,Male,left,101.0,86.0,86.0,6,21.0,21.0,15.0,1,215,107,Male_Expressions Contempt 05
Male_Expressions Contempt 05,Expressions Contempt,Male,Male_Base,Male,right,114.0,190.0,198.0,7,83.0,91.0,84.0,1,215,107,Male_Expressions Contempt 05
Male_Expressions Desire 01,Expressions Desire,Male,Male_Base,Male,left,101.0,102.0,98.0,6,5.0,9.0,3.0,1,215,107,Male_Expressions Desire 01
Male_Expressions Desire 01,Expressions Desire,Male,Male_Base,Male,right,115.0,116.0,116.0,8,9.0,9.0,1.0,1,215,107,Male_Expressions Desire 01
Male_Expressions Desire 02,Expressions Desire,Male,Male_Base,Male,left,101.0,94.0,94.0,6,13.0,13.0,7.0,1,215,107,Male_Expressions Desire 02
