folder,expression,sex_identity,appearance_identity,identity_family,side,A_view,C_view,B_view,A_distance,C_distance,B_distance,A_B_lead,A_before_B,n_viewpoints,reference_viewpoint,true_folder
Female_Despise 05,Despise,Female,Female_Base,Female,left,97.0,86.0,84.0,10,21.0,23.0,13.0,1,215,107,Female_Despise 05
Female_Despise 05,Despise,Female,Female_Base,Female,right,119.0,115.0,119.0,12,8.0,12.0,0.0,0,215,107,Female_Despise 05
Female_Determined,Determined,Female,Female_Base,Female,left,99.0,88.0,88.0,8,19.0,19.0,11.0,1,215,107,Female_Determined
Female_Determined,Determined,Female,Female_Base,Female,right,114.0,126.0,128.0,7,19.0,21.0,14.0,1,215,107,Female_Determined
Female_Distrust 01,Distrust,Female,Female_Base,Female,left,98.0,102.0,96.0,9,5.0,11.0,2.0,1,215,107,Female_Distrust 01
Female_Distrust 01,Distrust,Female,Female_Base,Female,right,118.0,118.0,120.0,11,11.0,13.0,2.0,1,215,107,Female_Distrust 01
Female_Distrust 02,Distrust,Female,Female_Base,Female,left,99.0,100.0,98.0,8,7.0,9.0,1.0,1,215,107,Female_Distrust 02
Female_Distrust 02,Distrust,Female,Female_Base,Female,right,118.0,111.0,113.0,11,4.0,6.0,-5.0,0,215,107,Female_Distrust 02
Female_Distrust 03,Distrust,Female,Female_Base,Female,left,98.0,89.0,88.0,9,18.0,19.0,10.0,1,215,107,Female_Distrust 03
Female_Distrust 03,Distrust,Female,Female_Base,Female,right,118.0,137.0,138.0,11,30.0,31.0,20.0,1,215,107,Female_Distrust 03
Female_Distrust 04,Distrust,Female,Female_Base,Female,left,99.0,92.0,88.0,8,15.0,19.0,11.0,1,215,107,Female_Distrust 04
Female_Distrust 04,Distrust,Female,Female_Base,Female,right,118.0,120.0,120.0,11,13.0,13.0,2.0,1,215,107,Female_Distrust 04
Female_Distrust 05,Distrust,Female,Female_Base,Female,left,100.0,99.0,98.0,7,8.0,9.0,2.0,1,215,107,Female_Distrust 05
Female_Distrust 05,Distrust,Female,Female_Base,Female,right,118.0,125.0,126.0,11,18.0,19.0,8.0,1,215,107,Female_Distrust 05
Female_Empathy 01,Empathy,Female,Female_Base,Female,left,100.0,104.0,98.0,7,3.0,9.0,2.0,1,215,107,Female_Empathy 01
Female_Empathy 01,Empathy,Female,Female_Base,Female,right,117.0,109.0,118.0,10,2.0,11.0,1.0,1,215,107,Female_Empathy 01
Female_Empathy 02,Empathy,Female,Female_Base,Female,left,98.0,91.0,90.0,9,16.0,17.0,8.0,1,215,107,Female_Empathy 02
Female_Empathy 02,Empathy,Female,Female_Base,Female,right,118.0,120.0,126.0,11,13.0,19.0,8.0,1,215,107,Female_Empathy 02
Female_Empathy 03,Empathy,Female,Female_Base,Female,left,99.0,99.0,96.0,8,8.0,11.0,3.0,1,215,107,Female_Empathy 03
Female_Empathy 03,Empathy,Female,Female_Base,Female,right,116.0,125.0,130.0,9,18.0,23.0,14.0,1,215,107,Female_Empathy 03
Female_Empathy 04,Empathy,Female,Female_Base,Female,left,98.0,99.0,91.0,9,8.0,16.0,7.0,1,215,107,Female_Empathy 04
Female_Empathy 04,Empathy,Female,Female_Base,Female,right,117.0,121.0,123.0,10,14.0,16.0,6.0,1,215,107,Female_Empathy 04
Female_Empathy 05,Empathy,Female,Female_Base,Female,left,98.0,99.0,99.0,9,8.0,8.0,-1.0,0,215,107,Female_Empathy 05
Female_Empathy 05,Empathy,Female,Female_Base,Female,right,117.0,135.0,135.0,10,28.0,28.0,18.0,1,215,107,Female_Empathy 05
Female_Expressions Anger 01,Expressions Anger,Female,Female_Base,Female,left,98.0,98.0,97.0,9,9.0,10.0,1.0,1,215,107,Female_Expressions Anger 01
Female_Expressions Anger 01,Expressions Anger,Female,Female_Base,Female,right,127.0,119.0,122.0,20,12.0,15.0,-5.0,0,215,107,Female_Expressions Anger 01
Female_Expressions Anger 02,Expressions Anger,Female,Female_Base,Female,left,96.0,84.0,83.0,11,23.0,24.0,13.0,1,215,107,Female_Expressions Anger 02
Female_Expressions Anger 02,Expressions Anger,Female,Female_Base,Female,right,124.0,125.0,127.0,17,18.0,20.0,3.0,1,215,107,Female_Expressions Anger 02
Female_Expressions Anger 03,Expressions Anger,Female,Female_Base,Female,left,98.0,85.0,84.0,9,22.0,23.0,14.0,1,215,107,Female_Expressions Anger 03
Female_Expressions Anger 03,Expressions Anger,Female,Female_Base,Female,right,125.0,125.0,127.0,18,18.0,20.0,2.0,1,215,107,Female_Expressions Anger 03
Female_Expressions Anger 04,Expressions Anger,Female,Female_Base,Female,left,97.0,93.0,93.0,10,14.0,14.0,4.0,1,215,107,Female_Expressions Anger 04
Female_Expressions Anger 04,Expressions Anger,Female,Female_Base,Female,right,127.0,130.0,131.0,20,23.0,24.0,4.0,1,215,107,Female_Expressions Anger 04
Female_Expressions Anger 05,Expressions Anger,Female,Female_Base,Female,left,96.0,85.0,85.0,11,22.0,22.0,11.0,1,215,107,Female_Expressions Anger 05
Female_Expressions Anger 05,Expressions Anger,Female,Female_Base,Female,right,125.0,124.0,125.0,18,17.0,18.0,0.0,0,215,107,Female_Expressions Anger 05
Female_Expressions Confusion 01,Expressions Confusion,Female,Female_Base,Female,left,97.0,95.0,95.0,10,12.0,12.0,2.0,1,215,107,Female_Expressions Confusion 01
Female_Expressions Confusion 01,Expressions Confusion,Female,Female_Base,Female,right,128.0,129.0,136.0,21,22.0,29.0,8.0,1,215,107,Female_Expressions Confusion 01
Female_Expressions Confusion 02,Expressions Confusion,Female,Female_Base,Female,left,99.0,94.0,84.0,8,13.0,23.0,15.0,1,215,107,Female_Expressions Confusion 02
Female_Expressions Confusion 02,Expressions Confusion,Female,Female_Base,Female,right,128.0,128.0,128.0,21,21.0,21.0,0.0,0,215,107,Female_Expressions Confusion 02
Female_Expressions Confusion 03,Expressions Confusion,Female,Female_Base,Female,left,98.0,99.0,97.0,9,8.0,10.0,1.0,1,215,107,Female_Expressions Confusion 03
Female_Expressions Confusion 03,Expressions Confusion,Female,Female_Base,Female,right,126.0,126.0,127.0,19,19.0,20.0,1.0,1,215,107,Female_Expressions Confusion 03
Female_Expressions Confusion 04,Expressions Confusion,Female,Female_Base,Female,left,97.0,100.0,98.0,10,7.0,9.0,-1.0,0,215,107,Female_Expressions Confusion 04
Female_Expressions Confusion 04,Expressions Confusion,Female,Female_Base,Female,right,127.0,119.0,127.0,20,12.0,20.0,0.0,0,215,107,Female_Expressions Confusion 04
Female_Expressions Confusion 05,Expressions Confusion,Female,Female_Base,Female,left,99.0,86.0,84.0,8,21.0,23.0,15.0,1,215,107,Female_Expressions Confusion 05
Female_Expressions Confusion 05,Expressions Confusion,Female,Female_Base,Female,right,130.0,134.0,134.0,23,27.0,27.0,4.0,1,215,107,Female_Expressions Confusion 05
Female_Expressions Contempt 01,Expressions Contempt,Female,Female_Base,Female,left,97.0,97.0,87.0,10,10.0,20.0,10.0,1,215,107,Female_Expressions Contempt 01
Female_Expressions Contempt 01,Expressions Contempt,Female,Female_Base,Female,right,127.0,124.0,127.0,20,17.0,20.0,0.0,0,215,107,Female_Expressions Contempt 01
Female_Expressions Contempt 02,Expressions Contempt,Female,Female_Base,Female,left,97.0,98.0,97.0,10,9.0,10.0,0.0,0,215,107,Female_Expressions Contempt 02
Female_Expressions Contempt 02,Expressions Contempt,Female,Female_Base,Female,right,127.0,148.0,150.0,20,41.0,43.0,23.0,1,215,107,Female_Expressions Contempt 02
Female_Expressions Contempt 03,Expressions Contempt,Female,Female_Base,Female,left,98.0,83.0,83.0,9,24.0,24.0,15.0,1,215,107,Female_Expressions Contempt 03
Female_Expressions Contempt 03,Expressions Contempt,Female,Female_Base,Female,right,127.0,138.0,140.0,20,31.0,33.0,13.0,1,215,107,Female_Expressions Contempt 03
Female_Expressions Contempt 04,Expressions Contempt,Female,Female_Base,Female,left,97.0,97.0,95.0,10,10.0,12.0,2.0,1,215,107,Female_Expressions Contempt 04
Female_Expressions Contempt 04,Expressions Contempt,Female,Female_Base,Female,right,127.0,124.0,127.0,20,17.0,20.0,0.0,0,215,107,Female_Expressions Contempt 04
Female_Expressions Contempt 05,Expressions Contempt,Female,Female_Base,Female,left,97.0,78.0,77.0,10,29.0,30.0,20.0,1,215,107,Female_Expressions Contempt 05
