expression,folder,A_left,C_left,B_left,A_right,C_right,B_right
Expressions Sadness,Female_Expressions Sadness 03,98.0,99.0,98.0,126.0,120.0,125.0
Expressions Sadness,Female_Expressions Sadness 04,99.0,95.0,94.0,127.0,127.0,127.0
Expressions Sadness,Female_Expressions Sadness 05,98.0,92.0,85.0,128.0,130.0,131.0
Expressions Surprise,Female_Expressions Surprise 01,99.0,42.0,42.0,124.0,165.0,166.0
Expressions Surprise,Female_Expressions Surprise 02,98.0,82.0,82.0,128.0,128.0,134.0
Expressions Surprise,Female_Expressions Surprise 03,98.0,92.0,90.0,129.0,130.0,131.0
Expressions Surprise,Female_Expressions Surprise 04,96.0,87.0,86.0,130.0,141.0,146.0
Expressions Surprise,Female_Expressions Surprise 05,97.0,84.0,75.0,130.0,140.0,141.0
Eyeglasses,Female_Eyeglasses 1,103.0,22.0,22.0,110.0,193.0,193.0
Fear,Female_Fear 01,97.0,35.0,35.0,119.0,133.0,133.0
Fear,Female_Fear 02,97.0,84.0,83.0,118.0,145.0,146.0
Fear,Female_Fear 03,97.0,82.0,80.0,117.0,128.0,130.0
Fear,Female_Fear 04,98.0,87.0,86.0,118.0,147.0,147.0
Fear,Female_Fear 05,98.0,85.0,75.0,119.0,136.0,138.0
Fierce Cutthroat,Female_Fierce Cutthroat,99.0,86.0,86.0,112.0,124.0,128.0
Fierce Fiery,Female_Fierce Fiery,98.0,89.0,88.0,113.0,124.0,124.0
Fierce Savage,Female_Fierce Savage,99.0,85.0,85.0,111.0,187.0,188.0
Happy,Female_Happy 01,97.0,97.0,84.0,119.0,119.0,120.0
Happy,Female_Happy 02,99.0,98.0,92.0,116.0,118.0,121.0
Happy,Female_Happy 03,99.0,94.0,89.0,116.0,122.0,125.0
Happy,Female_Happy 04,100.0,93.0,91.0,116.0,130.0,130.0
Happy,Female_Happy 05,96.0,90.0,89.0,118.0,131.0,136.0
Happy Elated,Female_Happy Elated,97.0,85.0,84.0,115.0,144.0,144.0
Happy Perky,Female_Happy Perky,99.0,83.0,83.0,108.0,131.0,131.0
Happy So Peaceful,Female_Happy So Peaceful,96.0,59.0,59.0,115.0,152.0,155.0
Humiliated,Female_Humiliated,98.0,95.0,86.0,114.0,138.0,138.0
Insanity Deranged,Female_Insanity Deranged,99.0,65.0,64.0,112.0,184.0,191.0
Insanity Go Cuckoo,Female_Insanity Go Cuckoo,98.0,86.0,86.0,118.0,132.0,132.0
Insanity Going Crazy,Female_Insanity Going Crazy,95.0,83.0,83.0,118.0,133.0,136.0
Insanity Hostile,Female_Insanity Hostile,98.0,67.0,51.0,114.0,162.0,174.0
Insanity Lunatic,Female_Insanity Lunatic,99.0,94.0,92.0,110.0,128.0,128.0
Joy,Female_Joy 01,98.0,96.0,93.0,116.0,114.0,115.0
Joy,Female_Joy 02,97.0,82.0,67.0,117.0,146.0,146.0
Joy,Female_Joy 03,95.0,59.0,59.0,120.0,157.0,162.0
Joy,Female_Joy 04,98.0,98.0,96.0,118.0,131.0,132.0
Joy,Female_Joy 05,96.0,48.0,39.0,120.0,129.0,142.0
Judgemental,Female_Judgemental 01,97.0,92.0,92.0,115.0,118.0,124.0
Judgemental,Female_Judgemental 02,100.0,99.0,95.0,117.0,113.0,119.0
Judgemental,Female_Judgemental 03,99.0,85.0,82.0,117.0,119.0,120.0
Judgemental,Female_Judgemental 04,97.0,87.0,87.0,119.0,136.0,146.0
Judgemental,Female_Judgemental 05,98.0,98.0,93.0,112.0,131.0,136.0
Nervous,Female_Nervous,98.0,95.0,89.0,118.0,118.0,120.0
