folder,expression,A_left,C_left,B_left,A_left_detected,C_left_detected,B_left_detected,ordering_left,A_to_C_gap_left,C_to_B_gap_left,A_to_B_gap_left,A_reason_left,C_reason_left,B_reason_left,A_right,C_right,B_right,A_right_detected,C_right_detected,B_right_detected,ordering_right,A_to_C_gap_right,C_to_B_gap_right,A_to_B_gap_right,A_reason_right,C_reason_right,B_reason_right
Male_Expressions Surprise 02,Expressions Surprise,102.0,93.0,87.0,True,True,True,B<C<A,9.0,6.0,15.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,120.0,121.0,True,True,True,A<C<B,6.0,1.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Expressions Surprise 03,Expressions Surprise,100.0,97.0,97.0,True,True,True,C=B<A,3.0,0.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,120.0,122.0,True,True,True,A<C<B,4.0,2.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Expressions Surprise 04,Expressions Surprise,99.0,92.0,90.0,True,True,True,B<C<A,7.0,2.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,124.0,130.0,True,True,True,A<C<B,7.0,6.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Expressions Surprise 05,Expressions Surprise,102.0,52.0,51.0,True,True,True,B<C<A,50.0,1.0,51.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,136.0,136.0,True,True,True,A<C=B,20.0,0.0,20.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Eyeglasses 1,Eyeglasses,103.0,19.0,8.0,True,True,True,B<C<A,84.0,11.0,95.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,208.0,208.0,True,True,True,A<C=B,100.0,0.0,100.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Fear 01,Fear,99.0,89.0,85.0,True,True,True,B<C<A,10.0,4.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,115.0,127.0,127.0,True,True,True,A<C=B,12.0,0.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Fear 02,Fear,101.0,92.0,91.0,True,True,True,B<C<A,9.0,1.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,124.0,126.0,True,True,True,A<C<B,10.0,2.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Fear 03,Fear,101.0,88.0,87.0,True,True,True,B<C<A,13.0,1.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,124.0,124.0,True,True,True,A<C=B,11.0,0.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Fear 04,Fear,100.0,92.0,86.0,True,True,True,B<C<A,8.0,6.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,112.0,117.0,True,True,True,C<A<B,4.0,5.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Fear 05,Fear,99.0,91.0,80.0,True,True,True,B<C<A,8.0,11.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,131.0,133.0,True,True,True,A<C<B,14.0,2.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Fierce Cutthroat,Fierce Cutthroat,98.0,101.0,75.0,True,True,True,B<A<C,3.0,26.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,109.0,114.0,115.0,True,True,True,A<C<B,5.0,1.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Fierce Fiery,Fierce Fiery,102.0,88.0,88.0,True,True,True,C=B<A,14.0,0.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,121.0,122.0,True,True,True,A<C<B,13.0,1.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Fierce Savage,Fierce Savage,101.0,107.0,107.0,True,True,True,A<C=B,6.0,0.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,130.0,131.0,True,True,True,A<C<B,22.0,1.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Happy 01,Happy,101.0,55.0,54.0,True,True,True,B<C<A,46.0,1.0,47.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,120.0,124.0,True,True,True,A<C<B,6.0,4.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Happy 02,Happy,102.0,99.0,95.0,True,True,True,B<C<A,3.0,4.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,113.0,113.0,True,True,True,tie_all,0.0,0.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Happy 03,Happy,102.0,102.0,93.0,True,True,True,B<A=C,0.0,9.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,121.0,123.0,True,True,True,A<C<B,8.0,2.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Happy 04,Happy,101.0,98.0,94.0,True,True,True,B<C<A,3.0,4.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,115.0,116.0,True,True,True,A<C<B,1.0,1.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Happy 05,Happy,99.0,86.0,86.0,True,True,True,C=B<A,13.0,0.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,128.0,131.0,True,True,True,A<C<B,12.0,3.0,15.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Happy Elated,Happy Elated,101.0,89.0,89.0,True,True,True,C=B<A,12.0,0.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,159.0,160.0,True,True,True,A<C<B,51.0,1.0,52.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Happy Perky,Happy Perky,101.0,89.0,80.0,True,True,True,B<C<A,12.0,9.0,21.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,118.0,130.0,True,True,True,A<C<B,10.0,12.0,22.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Happy So Peaceful,Happy So Peaceful,100.0,49.0,44.0,True,True,True,B<C<A,51.0,5.0,56.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,110.0,173.0,173.0,True,True,True,A<C=B,63.0,0.0,63.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Humiliated,Humiliated,99.0,95.0,86.0,True,True,True,B<C<A,4.0,9.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,115.0,121.0,123.0,True,True,True,A<C<B,6.0,2.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Insanity Deranged,Insanity Deranged,101.0,91.0,91.0,True,True,True,C=B<A,10.0,0.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,140.0,148.0,True,True,True,A<C<B,32.0,8.0,40.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Insanity Go Cucko,Insanity Go Cucko,103.0,84.0,77.0,True,True,True,B<C<A,19.0,7.0,26.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,124.0,125.0,True,True,True,A<C<B,16.0,1.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Insanity Going Crazy,Insanity Going Crazy,97.0,71.0,70.0,True,True,True,B<C<A,26.0,1.0,27.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,146.0,146.0,True,True,True,A<C=B,34.0,0.0,34.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Insanity Hostile,Insanity Hostile,100.0,82.0,81.0,True,True,True,B<C<A,18.0,1.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,110.0,141.0,145.0,True,True,True,A<C<B,31.0,4.0,35.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Insanity Lunatic,Insanity Lunatic,101.0,101.0,98.0,True,True,True,B<A=C,0.0,3.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,108.0,143.0,148.0,True,True,True,A<C<B,35.0,5.0,40.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Male_Joy 01,Joy,102.0,96.0,95.0,True,True,True,B<C<A,6.0,1.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,117.0,119.0,True,True,True,A<C<B,4.0,2.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
