folder,expression,A_left,C_left,B_left,A_left_detected,C_left_detected,B_left_detected,ordering_left,A_to_C_gap_left,C_to_B_gap_left,A_to_B_gap_left,A_reason_left,C_reason_left,B_reason_left,A_right,C_right,B_right,A_right_detected,C_right_detected,B_right_detected,ordering_right,A_to_C_gap_right,C_to_B_gap_right,A_to_B_gap_right,A_reason_right,C_reason_right,B_reason_right
Female_Crying,Crying,100.0,98.0,95.0,True,True,True,B<C<A,2.0,3.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,113.0,122.0,True,True,True,C<A<B,1.0,9.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Cute 01,Cute,98.0,92.0,90.0,True,True,True,B<C<A,6.0,2.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,137.0,137.0,True,True,True,A<C=B,19.0,0.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Cute 02,Cute,100.0,107.0,90.0,True,True,True,B<A<C,7.0,17.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,107.0,130.0,True,True,True,C<A<B,11.0,23.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Cute 03,Cute,99.0,92.0,90.0,True,True,True,B<C<A,7.0,2.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,127.0,128.0,True,True,True,A<C<B,9.0,1.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Cute 04,Cute,100.0,91.0,88.0,True,True,True,B<C<A,9.0,3.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,121.0,126.0,True,True,True,A<C<B,3.0,5.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Cute 05,Cute,97.0,96.0,95.0,True,True,True,B<C<A,1.0,1.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,118.0,119.0,True,True,True,A=C<B,0.0,1.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Despise 01,Despise,98.0,88.0,87.0,True,True,True,B<C<A,10.0,1.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,115.0,120.0,True,True,True,C<A<B,4.0,5.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Despise 02,Despise,98.0,79.0,78.0,True,True,True,B<C<A,19.0,1.0,20.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,132.0,134.0,True,True,True,A<C<B,15.0,2.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Despise 03,Despise,98.0,87.0,85.0,True,True,True,B<C<A,11.0,2.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,128.0,130.0,True,True,True,A<C<B,10.0,2.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Despise 04,Despise,98.0,97.0,94.0,True,True,True,B<C<A,1.0,3.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,124.0,125.0,True,True,True,A<C<B,7.0,1.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Despise 05,Despise,97.0,86.0,84.0,True,True,True,B<C<A,11.0,2.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,115.0,119.0,True,True,True,C<A=B,4.0,4.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Determined,Determined,99.0,88.0,88.0,True,True,True,C=B<A,11.0,0.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,114.0,126.0,128.0,True,True,True,A<C<B,12.0,2.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Distrust 01,Distrust,98.0,102.0,96.0,True,True,True,B<A<C,4.0,6.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,118.0,120.0,True,True,True,A=C<B,0.0,2.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Distrust 02,Distrust,99.0,100.0,98.0,True,True,True,B<A<C,1.0,2.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,111.0,113.0,True,True,True,C<B<A,7.0,2.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Distrust 03,Distrust,98.0,89.0,88.0,True,True,True,B<C<A,9.0,1.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,137.0,138.0,True,True,True,A<C<B,19.0,1.0,20.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Distrust 04,Distrust,99.0,92.0,88.0,True,True,True,B<C<A,7.0,4.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,120.0,120.0,True,True,True,A<C=B,2.0,0.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Distrust 05,Distrust,100.0,99.0,98.0,True,True,True,B<C<A,1.0,1.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,125.0,126.0,True,True,True,A<C<B,7.0,1.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Empathy 01,Empathy,100.0,104.0,98.0,True,True,True,B<A<C,4.0,6.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,109.0,118.0,True,True,True,C<A<B,8.0,9.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Empathy 02,Empathy,98.0,91.0,90.0,True,True,True,B<C<A,7.0,1.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,120.0,126.0,True,True,True,A<C<B,2.0,6.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Empathy 03,Empathy,99.0,99.0,96.0,True,True,True,B<A=C,0.0,3.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,125.0,130.0,True,True,True,A<C<B,9.0,5.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Empathy 04,Empathy,98.0,99.0,91.0,True,True,True,B<A<C,1.0,8.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,121.0,123.0,True,True,True,A<C<B,4.0,2.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Empathy 05,Empathy,98.0,99.0,99.0,True,True,True,A<C=B,1.0,0.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,135.0,135.0,True,True,True,A<C=B,18.0,0.0,18.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Anger 01,Expressions Anger,98.0,98.0,97.0,True,True,True,B<A=C,0.0,1.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,119.0,122.0,True,True,True,C<B<A,8.0,3.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Anger 02,Expressions Anger,96.0,84.0,83.0,True,True,True,B<C<A,12.0,1.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,124.0,125.0,127.0,True,True,True,A<C<B,1.0,2.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Anger 03,Expressions Anger,98.0,85.0,84.0,True,True,True,B<C<A,13.0,1.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,125.0,125.0,127.0,True,True,True,A=C<B,0.0,2.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Anger 04,Expressions Anger,97.0,93.0,93.0,True,True,True,C=B<A,4.0,0.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,130.0,131.0,True,True,True,A<C<B,3.0,1.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Anger 05,Expressions Anger,96.0,85.0,85.0,True,True,True,C=B<A,11.0,0.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,125.0,124.0,125.0,True,True,True,C<A=B,1.0,1.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Confusion 01,Expressions Confusion,97.0,95.0,95.0,True,True,True,C=B<A,2.0,0.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,128.0,129.0,136.0,True,True,True,A<C<B,1.0,7.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Confusion 02,Expressions Confusion,99.0,94.0,84.0,True,True,True,B<C<A,5.0,10.0,15.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,128.0,128.0,128.0,True,True,True,tie_all,0.0,0.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Confusion 03,Expressions Confusion,98.0,99.0,97.0,True,True,True,B<A<C,1.0,2.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,126.0,126.0,127.0,True,True,True,A=C<B,0.0,1.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Confusion 04,Expressions Confusion,97.0,100.0,98.0,True,True,True,A<B<C,3.0,2.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,119.0,127.0,True,True,True,C<A=B,8.0,8.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Confusion 05,Expressions Confusion,99.0,86.0,84.0,True,True,True,B<C<A,13.0,2.0,15.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,130.0,134.0,134.0,True,True,True,A<C=B,4.0,0.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Contempt 01,Expressions Contempt,97.0,97.0,87.0,True,True,True,B<A=C,0.0,10.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,124.0,127.0,True,True,True,C<A=B,3.0,3.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Contempt 02,Expressions Contempt,97.0,98.0,97.0,True,True,True,A=B<C,1.0,1.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,148.0,150.0,True,True,True,A<C<B,21.0,2.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Contempt 03,Expressions Contempt,98.0,83.0,83.0,True,True,True,C=B<A,15.0,0.0,15.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,138.0,140.0,True,True,True,A<C<B,11.0,2.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Contempt 04,Expressions Contempt,97.0,97.0,95.0,True,True,True,B<A=C,0.0,2.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,124.0,127.0,True,True,True,C<A=B,3.0,3.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Contempt 05,Expressions Contempt,97.0,78.0,77.0,True,True,True,B<C<A,19.0,1.0,20.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,133.0,139.0,True,True,True,A<C<B,4.0,6.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Desire 01,Expressions Desire,98.0,102.0,100.0,True,True,True,A<B<C,4.0,2.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,119.0,120.0,True,True,True,C<B<A,8.0,1.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Desire 02,Expressions Desire,97.0,88.0,86.0,True,True,True,B<C<A,9.0,2.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,159.0,159.0,True,True,True,A<C=B,32.0,0.0,32.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Desire 03,Expressions Desire,97.0,99.0,92.0,True,True,True,B<A<C,2.0,7.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,128.0,126.0,130.0,True,True,True,C<A<B,2.0,4.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Desire 04,Expressions Desire,94.0,73.0,73.0,True,True,True,C=B<A,21.0,0.0,21.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,129.0,129.0,True,True,True,A<C=B,10.0,0.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Desire 05,Expressions Desire,97.0,57.0,57.0,True,True,True,C=B<A,40.0,0.0,40.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,144.0,146.0,True,True,True,A<C<B,15.0,2.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Disgust 01,Expressions Disgust,98.0,82.0,82.0,True,True,True,C=B<A,16.0,0.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,133.0,138.0,True,True,True,A<C<B,4.0,5.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Disgust 02,Expressions Disgust,98.0,70.0,70.0,True,True,True,C=B<A,28.0,0.0,28.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,126.0,138.0,138.0,True,True,True,A<C=B,12.0,0.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Disgust 03,Expressions Disgust,97.0,95.0,93.0,True,True,True,B<C<A,2.0,2.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,126.0,124.0,125.0,True,True,True,C<B<A,2.0,1.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Disgust 04,Expressions Disgust,100.0,85.0,82.0,True,True,True,B<C<A,15.0,3.0,18.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,123.0,140.0,146.0,True,True,True,A<C<B,17.0,6.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Disgust 05,Expressions Disgust,97.0,94.0,94.0,True,True,True,C=B<A,3.0,0.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,125.0,124.0,130.0,True,True,True,C<A<B,1.0,6.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Excitement 01,Expressions Excitement,97.0,87.0,81.0,True,True,True,B<C<A,10.0,6.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,128.0,131.0,True,True,True,C<A<B,1.0,3.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Excitement 02,Expressions Excitement,98.0,87.0,82.0,True,True,True,B<C<A,11.0,5.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,152.0,152.0,True,True,True,A<C=B,23.0,0.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Excitement 03,Expressions Excitement,97.0,98.0,95.0,True,True,True,B<A<C,1.0,3.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,123.0,124.0,True,True,True,C<B<A,4.0,1.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Excitement 04,Expressions Excitement,96.0,72.0,70.0,True,True,True,B<C<A,24.0,2.0,26.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,121.0,127.0,True,True,True,C<B<A,8.0,6.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Excitement 05,Expressions Excitement,98.0,92.0,91.0,True,True,True,B<C<A,6.0,1.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,120.0,125.0,True,True,True,C<B<A,9.0,5.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Fear 01,Expressions Fear,97.0,94.0,88.0,True,True,True,B<C<A,3.0,6.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,128.0,127.0,131.0,True,True,True,C<A<B,1.0,4.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Fear 02,Expressions Fear,96.0,88.0,81.0,True,True,True,B<C<A,8.0,7.0,15.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,130.0,136.0,138.0,True,True,True,A<C<B,6.0,2.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Fear 03,Expressions Fear,98.0,92.0,86.0,True,True,True,B<C<A,6.0,6.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,120.0,126.0,True,True,True,C<B<A,7.0,6.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Fear 04,Expressions Fear,98.0,97.0,96.0,True,True,True,B<C<A,1.0,1.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,121.0,126.0,True,True,True,C<B<A,6.0,5.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Fear 05,Expressions Fear,97.0,97.0,95.0,True,True,True,B<A=C,0.0,2.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,128.0,124.0,128.0,True,True,True,C<A=B,4.0,4.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Happiness 01,Expressions Happiness,98.0,83.0,81.0,True,True,True,B<C<A,15.0,2.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,125.0,126.0,True,True,True,C<B<A,2.0,1.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Happiness 02,Expressions Happiness,98.0,93.0,85.0,True,True,True,B<C<A,5.0,8.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,126.0,131.0,True,True,True,C<A<B,1.0,5.0,4.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Happiness 03,Expressions Happiness,97.0,96.0,83.0,True,True,True,B<C<A,1.0,13.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,130.0,130.0,130.0,True,True,True,tie_all,0.0,0.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Happiness 04,Expressions Happiness,97.0,82.0,81.0,True,True,True,B<C<A,15.0,1.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,126.0,137.0,True,True,True,C<A<B,3.0,11.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Happiness 05,Expressions Happiness,97.0,80.0,78.0,True,True,True,B<C<A,17.0,2.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,130.0,132.0,True,True,True,A<C<B,1.0,2.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Sadness 01,Expressions Sadness,98.0,94.0,85.0,True,True,True,B<C<A,4.0,9.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,120.0,125.0,True,True,True,C<B<A,7.0,5.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Sadness 02,Expressions Sadness,96.0,57.0,57.0,True,True,True,C=B<A,39.0,0.0,39.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,128.0,146.0,153.0,True,True,True,A<C<B,18.0,7.0,25.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Sadness 03,Expressions Sadness,98.0,99.0,98.0,True,True,True,A=B<C,1.0,1.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,126.0,120.0,125.0,True,True,True,C<B<A,6.0,5.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Sadness 04,Expressions Sadness,99.0,95.0,94.0,True,True,True,B<C<A,4.0,1.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,127.0,127.0,127.0,True,True,True,tie_all,0.0,0.0,0.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Sadness 05,Expressions Sadness,98.0,92.0,85.0,True,True,True,B<C<A,6.0,7.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,128.0,130.0,131.0,True,True,True,A<C<B,2.0,1.0,3.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Surprise 01,Expressions Surprise,99.0,42.0,42.0,True,True,True,C=B<A,57.0,0.0,57.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,124.0,165.0,166.0,True,True,True,A<C<B,41.0,1.0,42.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Surprise 02,Expressions Surprise,98.0,82.0,82.0,True,True,True,C=B<A,16.0,0.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,128.0,128.0,134.0,True,True,True,A=C<B,0.0,6.0,6.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Surprise 03,Expressions Surprise,98.0,92.0,90.0,True,True,True,B<C<A,6.0,2.0,8.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,129.0,130.0,131.0,True,True,True,A<C<B,1.0,1.0,2.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Surprise 04,Expressions Surprise,96.0,87.0,86.0,True,True,True,B<C<A,9.0,1.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,130.0,141.0,146.0,True,True,True,A<C<B,11.0,5.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Expressions Surprise 05,Expressions Surprise,97.0,84.0,75.0,True,True,True,B<C<A,13.0,9.0,22.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,130.0,140.0,141.0,True,True,True,A<C<B,10.0,1.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Eyeglasses 1,Eyeglasses,103.0,22.0,22.0,True,True,True,C=B<A,81.0,0.0,81.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,110.0,193.0,193.0,True,True,True,A<C=B,83.0,0.0,83.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Fear 01,Fear,97.0,35.0,35.0,True,True,True,C=B<A,62.0,0.0,62.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,133.0,133.0,True,True,True,A<C=B,14.0,0.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Fear 02,Fear,97.0,84.0,83.0,True,True,True,B<C<A,13.0,1.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,145.0,146.0,True,True,True,A<C<B,27.0,1.0,28.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Fear 03,Fear,97.0,82.0,80.0,True,True,True,B<C<A,15.0,2.0,17.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,117.0,128.0,130.0,True,True,True,A<C<B,11.0,2.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Fear 04,Fear,98.0,87.0,86.0,True,True,True,B<C<A,11.0,1.0,12.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,118.0,147.0,147.0,True,True,True,A<C=B,29.0,0.0,29.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Fear 05,Fear,98.0,85.0,75.0,True,True,True,B<C<A,13.0,10.0,23.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,136.0,138.0,True,True,True,A<C<B,17.0,2.0,19.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Fierce Cutthroat,Fierce Cutthroat,99.0,86.0,86.0,True,True,True,C=B<A,13.0,0.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,112.0,124.0,128.0,True,True,True,A<C<B,12.0,4.0,16.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Fierce Fiery,Fierce Fiery,98.0,89.0,88.0,True,True,True,B<C<A,9.0,1.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,113.0,124.0,124.0,True,True,True,A<C=B,11.0,0.0,11.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Fierce Savage,Fierce Savage,99.0,85.0,85.0,True,True,True,C=B<A,14.0,0.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,111.0,187.0,188.0,True,True,True,A<C<B,76.0,1.0,77.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Happy 01,Happy,97.0,97.0,84.0,True,True,True,B<A=C,0.0,13.0,13.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,119.0,119.0,120.0,True,True,True,A=C<B,0.0,1.0,1.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Happy 02,Happy,99.0,98.0,92.0,True,True,True,B<C<A,1.0,6.0,7.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,118.0,121.0,True,True,True,A<C<B,2.0,3.0,5.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Happy 03,Happy,99.0,94.0,89.0,True,True,True,B<C<A,5.0,5.0,10.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,122.0,125.0,True,True,True,A<C<B,6.0,3.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
Female_Happy 04,Happy,100.0,93.0,91.0,True,True,True,B<C<A,7.0,2.0,9.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure,116.0,130.0,130.0,True,True,True,A<C=B,14.0,0.0,14.0,sustained_threshold_crossing,sustained_threshold_crossing,sustained_prediction_failure
