folder,expression,direction,A_boundary,B_boundary,lead_deg
Male_Despise 02,Despise,left,0.0,0.0,0.0
Male_Despise 03,Despise,left,0.0,0.0,0.0
Male_Despise 04,Despise,left,0.0,0.0,0.0
Male_Despise 05,Despise,left,0.0,0.0,0.0
Male_Determined,Determined,left,0.0,0.0,0.0
Male_Distrust 01,Distrust,left,0.0,0.0,0.0
Male_Distrust 02,Distrust,left,0.0,0.0,0.0
Male_Distrust 03,Distrust,left,0.0,0.0,0.0
Male_Distrust 04,Distrust,left,0.0,0.0,0.0
Male_Distrust 05,Distrust,left,0.0,0.0,0.0
Male_Empathy 01,Empathy,left,0.0,0.0,0.0
Male_Empathy 02,Empathy,left,0.0,0.0,0.0
Male_Empathy 03,Empathy,left,0.0,0.0,0.0
Male_Empathy 04,Empathy,left,0.0,0.0,0.0
Male_Empathy 05,Empathy,left,0.0,0.0,0.0
Male_Expressions Anger 01,Expressions Anger,left,0.0,0.0,0.0
Male_Expressions Anger 02,Expressions Anger,left,0.0,0.0,0.0
Male_Expressions Anger 03,Expressions Anger,left,0.0,0.0,0.0
Male_Expressions Anger 04,Expressions Anger,left,0.0,0.0,0.0
Male_Expressions Anger 05,Expressions Anger,left,0.0,0.0,0.0
Male_Expressions Confusion 01,Expressions Confusion,left,0.0,0.0,0.0
Male_Expressions Confusion 02,Expressions Confusion,left,0.0,0.0,0.0
Male_Expressions Confusion 03,Expressions Confusion,left,0.0,0.0,0.0
Male_Expressions Confusion 04,Expressions Confusion,left,0.0,0.0,0.0
Male_Expressions Confusion 05,Expressions Confusion,left,0.0,0.0,0.0
Male_Expressions Contempt 01,Expressions Contempt,left,0.0,0.0,0.0
Male_Expressions Contempt 02,Expressions Contempt,left,0.0,0.0,0.0
Male_Expressions Contempt 03,Expressions Contempt,left,0.0,0.0,0.0
Male_Expressions Contempt 04,Expressions Contempt,left,0.0,0.0,0.0
Male_Expressions Contempt 05,Expressions Contempt,left,0.0,0.0,0.0
Male_Expressions Desire 01,Expressions Desire,left,0.0,0.0,0.0
Male_Expressions Desire 02,Expressions Desire,left,0.0,0.0,0.0
Male_Expressions Desire 03,Expressions Desire,left,0.0,0.0,0.0
Male_Expressions Desire 04,Expressions Desire,left,0.0,0.0,0.0
Male_Expressions Desire 05,Expressions Desire,left,0.0,0.0,0.0
Male_Expressions Disgust 01,Expressions Disgust,left,0.0,0.0,0.0
Male_Expressions Disgust 02,Expressions Disgust,left,0.0,0.0,0.0
Male_Expressions Disgust 03,Expressions Disgust,left,0.0,0.0,0.0
Male_Expressions Disgust 04,Expressions Disgust,left,0.0,0.0,0.0
Male_Expressions Disgust 05,Expressions Disgust,left,0.0,0.0,0.0
Male_Expressions Excitement 01,Expressions Excitement,left,0.0,0.0,0.0
Male_Expressions Excitement 02,Expressions Excitement,left,0.0,0.0,0.0
Male_Expressions Excitement 03,Expressions Excitement,left,0.0,0.0,0.0
Male_Expressions Excitement 04,Expressions Excitement,left,0.0,0.0,0.0
Male_Expressions Excitement 05,Expressions Excitement,left,0.0,0.0,0.0
Male_Expressions Fear 01,Expressions Fear,left,0.0,0.0,0.0
Male_Expressions Fear 02,Expressions Fear,left,0.0,0.0,0.0
Male_Expressions Fear 03,Expressions Fear,left,0.0,0.0,0.0
Male_Expressions Fear 04,Expressions Fear,left,0.0,0.0,0.0
Male_Expressions Fear 05,Expressions Fear,left,0.0,0.0,0.0
Male_Expressions Happiness 01,Expressions Happiness,left,0.0,0.0,0.0
Male_Expressions Happiness 02,Expressions Happiness,left,0.0,0.0,0.0
Male_Expressions Happiness 03,Expressions Happiness,left,0.0,0.0,0.0
Male_Expressions Happiness 04,Expressions Happiness,left,0.0,0.0,0.0
Male_Expressions Happiness 05,Expressions Happiness,left,0.0,0.0,0.0
Male_Expressions Sadness 01,Expressions Sadness,left,0.0,0.0,0.0
Male_Expressions Sadness 02,Expressions Sadness,left,0.0,0.0,0.0
Male_Expressions Sadness 03,Expressions Sadness,left,0.0,0.0,0.0
Male_Expressions Sadness 04,Expressions Sadness,left,0.0,0.0,0.0
Male_Expressions Sadness 05,Expressions Sadness,left,0.0,0.0,0.0
Male_Expressions Surprise 01,Expressions Surprise,left,0.0,0.0,0.0
Male_Expressions Surprise 02,Expressions Surprise,left,0.0,0.0,0.0
Male_Expressions Surprise 03,Expressions Surprise,left,0.0,0.0,0.0
Male_Expressions Surprise 04,Expressions Surprise,left,0.0,0.0,0.0
Male_Expressions Surprise 05,Expressions Surprise,left,0.0,0.0,0.0
Male_Eyeglasses 1,Eyeglasses,left,0.0,0.0,0.0
