folder,expression,direction,A_boundary,B_boundary,lead_deg
Male_ZMouth Open Horizontal,ZMouth Open Horizontal,left,0.0,0.0,0.0
Male_ZMouth Open Horizontal And Vertical,ZMouth Open Horizontal And Vertical,left,0.0,0.0,0.0
Male_ZZ_Bearded,ZZ_Bearded,left,0.0,0.0,0.0
Male_ZZ_Cavalier,ZZ_Cavalier,left,0.0,0.0,0.0
Male_ZZ_Dapper,ZZ_Dapper,left,0.0,0.0,0.0
Male_ZZ_Flynn,ZZ_Flynn,left,0.0,0.0,0.0
Male_ZZ_Franz Josef,ZZ_Franz Josef,left,0.0,0.0,0.0
Male_ZZ_Friendly Mutton Chops,ZZ_Friendly Mutton Chops,left,0.0,0.0,0.0
Male_ZZ_Fu Manchu,ZZ_Fu Manchu,left,0.0,0.0,0.0
Male_ZZ_Fu Manchu Goatee,ZZ_Fu Manchu Goatee,left,0.0,0.0,0.0
Male_ZZ_Full Beard,ZZ_Full Beard,left,0.0,0.0,0.0
Male_ZZ_Goatee,ZZ_Goatee,left,0.0,0.0,0.0
Male_ZZ_Mutton Chops,ZZ_Mutton Chops,left,0.0,0.0,0.0
Male_ZZ_Napoleon III,ZZ_Napoleon III,left,0.0,0.0,0.0
Male_ZZ_Officer,ZZ_Officer,left,0.0,0.0,0.0
Male_ZZ_Pioneer,ZZ_Pioneer,left,0.0,0.0,0.0
Male_ZZ_Stubbled,ZZ_Stubbled,left,0.0,0.0,0.0
