folder,gender,expression,A_cosine_left_angle,A_cosine_left_abs_angle,A_cosine_right_angle,A_cosine_right_abs_angle,A_angular_left_angle,A_angular_left_abs_angle,A_angular_right_angle,A_angular_right_abs_angle,A_euclidean_left_angle,A_euclidean_left_abs_angle,A_euclidean_right_angle,A_euclidean_right_abs_angle,A_path_left_angle,A_path_left_abs_angle,A_path_right_angle,A_path_right_abs_angle,A_rate_left_angle,A_rate_left_abs_angle,A_rate_right_angle,A_rate_right_abs_angle,A_curvature_left_angle,A_curvature_left_abs_angle,A_curvature_right_angle,A_curvature_right_abs_angle,A_instability_left_angle,A_instability_left_abs_angle,A_instability_right_angle,A_instability_right_abs_angle,C_left_angle,C_left_abs_angle,C_right_angle,C_right_abs_angle,B_left_angle,B_left_abs_angle,B_right_angle,B_right_abs_angle,C_hard_left_angle,C_hard_left_abs_angle,C_hard_right_angle,C_hard_right_abs_angle,A_cosine_distance_AUC_left,A_angular_distance_deg_AUC_left,A_euclidean_distance_AUC_left,A_cumulative_path_from_V107_AUC_left,A_rate_per_degree_AUC_left,A_curvature_AUC_left,A_trajectory_instability_AUC_left,C_margin_AUC_left,B_correct_AUC_left,A_cosine_distance_AUC_right,A_angular_distance_deg_AUC_right,A_euclidean_distance_AUC_right,A_cumulative_path_from_V107_AUC_right,A_rate_per_degree_AUC_right,A_curvature_AUC_right,A_trajectory_instability_AUC_right,C_margin_AUC_right,B_correct_AUC_right,A_cosine_leads_B_left,B_minus_A_cosine_left,A_angular_leads_B_left,B_minus_A_angular_left,A_euclidean_leads_B_left,B_minus_A_euclidean_left,A_path_leads_B_left,B_minus_A_path_left,A_rate_leads_B_left,B_minus_A_rate_left,A_curvature_leads_B_left,B_minus_A_curvature_left,A_instability_leads_B_left,B_minus_A_instability_left,C_leads_B_left,B_minus_C_left,A_cosine_leads_B_right,B_minus_A_cosine_right,A_angular_leads_B_right,B_minus_A_angular_right,A_euclidean_leads_B_right,B_minus_A_euclidean_right,A_path_leads_B_right,B_minus_A_path_right,A_rate_leads_B_right,B_minus_A_rate_right,A_curvature_leads_B_right,B_minus_A_curvature_right,A_instability_leads_B_right,B_minus_A_instability_right,C_leads_B_right,B_minus_C_right
Female_Judgemental 03,Female,Judgemental,-8.0,8.0,10.0,10.0,-8.0,8.0,10.0,10.0,-8.0,8.0,10.0,10.0,-8.0,8.0,8.0,8.0,-81.0,81.0,87.0,87.0,,,,,-81.0,81.0,77.0,77.0,-22.0,22.0,12.0,12.0,-25.0,25.0,13.0,13.0,-25.0,25.0,13.0,13.0,0.2520056339067833,39.47754067349657,0.6709359517651741,4.396955138211634,0.093030089740905,18.14363873709115,0.13345724650008498,-0.04910393128885287,0.22897196261682243,0.30404595153354036,43.03186909060612,0.7257500609783368,4.2329205663474365,0.08846512013854825,18.823363908510366,0.12872621617367808,-0.07238990778677931,0.11682242990654206,1.0,17.0,1.0,17.0,1.0,17.0,1.0,17.0,0.0,-56.0,,,0.0,-56.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,5.0,0.0,-74.0,,,0.0,-64.0,1.0,1.0
Female_Judgemental 04,Female,Judgemental,-10.0,10.0,12.0,12.0,-10.0,10.0,12.0,12.0,-10.0,10.0,12.0,12.0,-7.0,7.0,7.0,7.0,-92.0,92.0,81.0,81.0,,,,,-81.0,81.0,42.0,42.0,-20.0,20.0,29.0,29.0,-20.0,20.0,39.0,39.0,-20.0,20.0,39.0,39.0,0.25001095778474186,39.12379293575465,0.6648312603410717,4.65755898830977,0.09396889825123099,17.888538720620936,0.1356744474889535,-0.04027677083683905,0.2102803738317757,0.3058384656906128,43.021713573241904,0.7254509510141667,4.6160983693585775,0.09577556655994643,17.765098919229366,0.13932874043173385,-0.049366373046536315,0.3317757009345794,1.0,10.0,1.0,10.0,1.0,10.0,1.0,13.0,0.0,-72.0,,,0.0,-61.0,0.0,0.0,1.0,27.0,1.0,27.0,1.0,27.0,1.0,32.0,0.0,-42.0,,,0.0,-3.0,1.0,10.0
Female_Judgemental 05,Female,Judgemental,-9.0,9.0,5.0,5.0,-9.0,9.0,5.0,5.0,-9.0,9.0,5.0,5.0,-5.0,5.0,6.0,6.0,-82.0,82.0,33.0,33.0,,,,,-92.0,92.0,81.0,81.0,-9.0,9.0,24.0,24.0,-14.0,14.0,29.0,29.0,-14.0,14.0,29.0,29.0,0.23629103419936706,38.19872052647243,0.6501761401925131,4.7500346919225755,0.09443148144714113,17.08485917862685,0.13422579725958267,-0.029557314988608672,0.10747663551401869,0.3104304565447513,43.86773709716084,0.7398985475301743,5.373925968047197,0.10386330843250328,15.69577618573538,0.14892020934032943,-0.04844792131508622,0.24766355140186916,1.0,5.0,1.0,5.0,1.0,5.0,1.0,9.0,0.0,-68.0,,,0.0,-78.0,1.0,5.0,1.0,24.0,1.0,24.0,1.0,24.0,1.0,23.0,0.0,-4.0,,,0.0,-52.0,1.0,5.0
Female_Nervous,Female,Nervous,-9.0,9.0,11.0,11.0,-9.0,9.0,11.0,11.0,-9.0,9.0,11.0,11.0,-7.0,7.0,7.0,7.0,-91.0,91.0,56.0,56.0,,,,,-101.0,101.0,97.0,97.0,-12.0,12.0,11.0,11.0,-18.0,18.0,13.0,13.0,-18.0,18.0,13.0,13.0,0.25050414332719606,39.400569597137306,0.6698338000156056,4.209116248205025,0.08863786175706477,18.623761692961875,0.12429838416711339,-0.04254078837198632,0.1542056074766355,0.3023862766328259,42.975628164327034,0.7253135156547912,4.474851996646585,0.09141799170419435,18.339550045221348,0.13163368692094424,-0.05601651869087576,0.11682242990654206,1.0,9.0,1.0,9.0,1.0,9.0,1.0,11.0,0.0,-73.0,,,0.0,-83.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,6.0,0.0,-43.0,,,0.0,-84.0,1.0,2.0
Female_Pain 01,Female,Pain,-9.0,9.0,11.0,11.0,-9.0,9.0,11.0,11.0,-9.0,9.0,11.0,11.0,-5.0,5.0,6.0,6.0,-37.0,37.0,43.0,43.0,,,,,-102.0,102.0,53.0,53.0,-21.0,21.0,34.0,34.0,-21.0,21.0,34.0,34.0,-21.0,21.0,34.0,34.0,0.2194141533887275,36.70022345034876,0.6258375159351626,5.180730750975765,0.100962079112541,16.263989934447615,0.1449232130258713,-0.014303485366785638,0.49065420560747663,0.29764552316933035,42.8418296920919,0.723846128958965,5.450676205559311,0.10886997130708159,15.693001586291212,0.1611914296616923,-0.03287320173232355,0.37850467289719625,1.0,12.0,1.0,12.0,1.0,12.0,1.0,16.0,0.0,-16.0,,,0.0,-81.0,0.0,0.0,1.0,23.0,1.0,23.0,1.0,23.0,1.0,28.0,0.0,-9.0,,,0.0,-19.0,0.0,0.0
Female_Pain 02,Female,Pain,-10.0,10.0,11.0,11.0,-10.0,10.0,11.0,11.0,-10.0,10.0,11.0,11.0,-6.0,6.0,5.0,5.0,-38.0,38.0,74.0,74.0,,,,,-38.0,38.0,56.0,56.0,-57.0,57.0,45.0,45.0,-85.0,85.0,71.0,71.0,-85.0,85.0,71.0,71.0,0.2102663333170882,35.78399211223994,0.6107362939097057,4.5104082778757695,0.09119788838445016,18.02024199365096,0.13028698899554755,-0.0008599421131276639,0.7429906542056075,0.27316236468119043,40.72560814385102,0.6894956638462075,5.245380038308484,0.10536377608915355,16.174971668974095,0.15608338554793932,-0.013665504962484414,0.5747663551401869,1.0,75.0,1.0,75.0,1.0,75.0,1.0,79.0,1.0,47.0,,,1.0,47.0,1.0,28.0,1.0,60.0,1.0,60.0,1.0,60.0,1.0,66.0,0.0,-3.0,,,1.0,15.0,1.0,26.0
Female_Pain 03,Female,Pain,-8.0,8.0,10.0,10.0,-8.0,8.0,10.0,10.0,-8.0,8.0,10.0,10.0,-7.0,7.0,7.0,7.0,-91.0,91.0,60.0,60.0,,,,,-102.0,102.0,54.0,54.0,-9.0,9.0,20.0,20.0,-15.0,15.0,20.0,20.0,-15.0,15.0,20.0,20.0,0.26651746591674946,40.895209441675206,0.6943142909869969,4.646725478834498,0.09413758841044498,17.177556414550477,0.13296441073125265,-0.057754543897147494,0.13551401869158877,0.3308794080654037,45.4963923436459,0.7662984697478954,5.022754241860358,0.10538549999767374,16.103050219120213,0.15452426826616503,-0.06606425177828174,0.17289719626168223,1.0,7.0,1.0,7.0,1.0,7.0,1.0,8.0,0.0,-76.0,,,0.0,-87.0,1.0,6.0,1.0,10.0,1.0,10.0,1.0,10.0,1.0,13.0,0.0,-40.0,,,0.0,-34.0,0.0,0.0
Female_Pain 04,Female,Pain,-9.0,9.0,11.0,11.0,-9.0,9.0,11.0,11.0,-9.0,9.0,11.0,11.0,-6.0,6.0,6.0,6.0,-91.0,91.0,74.0,74.0,,,,,-91.0,91.0,27.0,27.0,-19.0,19.0,42.0,42.0,-35.0,35.0,42.0,42.0,-35.0,35.0,42.0,42.0,0.23007225321832103,37.32472074811704,0.6351903718765651,4.591046603953588,0.09217928139106282,17.910286456524336,0.13162964944428993,-0.0289829128256468,0.32242990654205606,0.28482042879701774,41.377728283962355,0.6989222469730912,5.003358258630767,0.10386224923150561,15.511116746844792,0.1443916844590655,-0.04837686575461771,0.3878504672897196,1.0,26.0,1.0,26.0,1.0,26.0,1.0,29.0,0.0,-56.0,,,0.0,-56.0,1.0,16.0,1.0,31.0,1.0,31.0,1.0,31.0,1.0,36.0,0.0,-32.0,,,1.0,15.0,0.0,0.0
Female_Pain 05,Female,Pain,-9.0,9.0,13.0,13.0,-9.0,9.0,13.0,13.0,-9.0,9.0,13.0,13.0,-7.0,7.0,7.0,7.0,-78.0,78.0,84.0,84.0,,,,,-49.0,49.0,95.0,95.0,-21.0,21.0,28.0,28.0,-21.0,21.0,35.0,35.0,-21.0,21.0,35.0,35.0,0.2311151896681741,37.87230490301257,0.6455592042374834,4.708914005049618,0.09870466157653422,17.63670278038642,0.14572002137747575,-0.014316447148813265,0.2757009345794392,0.27973943893040454,41.25246406047144,0.6984194157488435,4.881319610332357,0.10194892161221147,16.923051478692393,0.14721286715061035,-0.014439900066250953,0.5186915887850467,1.0,12.0,1.0,12.0,1.0,12.0,1.0,14.0,0.0,-57.0,,,0.0,-28.0,0.0,0.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,28.0,0.0,-49.0,,,0.0,-60.0,1.0,7.0
Female_Pain Illness,Female,Pain Illness,-10.0,10.0,3.0,3.0,-10.0,10.0,3.0,3.0,-10.0,10.0,3.0,3.0,-7.0,7.0,5.0,5.0,-90.0,90.0,99.0,99.0,,,,,-20.0,20.0,90.0,90.0,-44.0,44.0,49.0,49.0,-44.0,44.0,56.0,56.0,-44.0,44.0,56.0,56.0,0.22391654286429147,37.18216524391531,0.6340598093572064,4.526269845734133,0.09499563867191099,17.24979101258775,0.1344600271011861,-0.014830111621696259,0.46261682242990654,0.21698109457425982,36.569034344682066,0.6237182269029529,4.414117910298649,0.0904044360966883,18.764946904833167,0.12986939618328833,-0.010995832837630655,0.5934579439252337,1.0,34.0,1.0,34.0,1.0,34.0,1.0,37.0,0.0,-46.0,,,1.0,24.0,0.0,0.0,1.0,53.0,1.0,53.0,1.0,53.0,1.0,51.0,0.0,-43.0,,,0.0,-34.0,1.0,7.0
Female_Playful 01,Female,Playful,-10.0,10.0,9.0,9.0,-10.0,10.0,9.0,9.0,-10.0,10.0,9.0,9.0,-7.0,7.0,7.0,7.0,-91.0,91.0,42.0,42.0,,,,,-80.0,80.0,41.0,41.0,-14.0,14.0,23.0,23.0,-21.0,21.0,23.0,23.0,-21.0,21.0,23.0,23.0,0.2596800792440076,39.84736135072797,0.6763459635184748,4.148788931718636,0.08542380227162591,18.953095479401448,0.12088916036036779,-0.05614266328722517,0.17289719626168223,0.32450968194230695,44.9989688418736,0.7585329885516211,4.813143783205441,0.1004564941242755,16.33683363356748,0.14183139962688932,-0.04162216353639264,0.2383177570093458,1.0,11.0,1.0,11.0,1.0,11.0,1.0,14.0,0.0,-70.0,,,0.0,-59.0,1.0,7.0,1.0,14.0,1.0,14.0,1.0,14.0,1.0,16.0,0.0,-19.0,,,0.0,-18.0,0.0,0.0
Female_Playful 02,Female,Playful,-7.0,7.0,9.0,9.0,-7.0,7.0,9.0,9.0,-7.0,7.0,9.0,9.0,-6.0,6.0,7.0,7.0,-66.0,66.0,48.0,48.0,,,,,-98.0,98.0,48.0,48.0,-17.0,17.0,25.0,25.0,-21.0,21.0,25.0,25.0,-21.0,21.0,25.0,25.0,0.2643081556970828,40.58668981757119,0.6890008421269788,4.488809880182565,0.09337803740757254,17.43173209443688,0.13170528447009483,-0.0480974982275027,0.19158878504672897,0.3213426520891279,44.65175505887682,0.7523728831474167,4.710139966421874,0.09748057862656696,17.154326573194215,0.14061446895576873,-0.04334011089021914,0.22897196261682243,1.0,14.0,1.0,14.0,1.0,14.0,1.0,15.0,0.0,-45.0,,,0.0,-77.0,1.0,4.0,1.0,16.0,1.0,16.0,1.0,16.0,1.0,18.0,0.0,-23.0,,,0.0,-23.0,0.0,0.0
Female_Playful 03,Female,Playful,-8.0,8.0,12.0,12.0,-8.0,8.0,12.0,12.0,-8.0,8.0,12.0,12.0,-7.0,7.0,7.0,7.0,-79.0,79.0,92.0,92.0,,,,,-80.0,80.0,42.0,42.0,-7.0,7.0,16.0,16.0,-9.0,9.0,20.0,20.0,-9.0,9.0,20.0,20.0,0.24162034620748502,38.56720156090282,0.6561023362468337,4.4069603388415315,0.09294821550401877,18.010958283017587,0.1323094091747167,-0.04341905919190879,0.0794392523364486,0.28142086256330257,41.27228908004048,0.6980577351473202,4.794328761417593,0.09861122740206317,17.01696004412694,0.14227335260442966,-0.04060331920039988,0.17289719626168223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,-70.0,,,0.0,-71.0,1.0,2.0,1.0,8.0,1.0,8.0,1.0,8.0,1.0,13.0,0.0,-72.0,,,0.0,-22.0,1.0,4.0
Female_Playful 04,Female,Playful,-8.0,8.0,7.0,7.0,-8.0,8.0,7.0,7.0,-8.0,8.0,7.0,7.0,-6.0,6.0,6.0,6.0,-64.0,64.0,36.0,36.0,,,,,-65.0,65.0,38.0,38.0,-13.0,13.0,24.0,24.0,-15.0,15.0,24.0,24.0,-15.0,15.0,24.0,24.0,0.26538687275948925,40.595811041716104,0.6889132777760525,4.7958435101138654,0.10160356422640243,16.697057695454653,0.146868825204811,-0.051577664145799444,0.13551401869158877,0.34283379026662525,46.31772913888236,0.7786414498437794,5.427827022029696,0.10768421137026538,15.870596120528601,0.1588590283227979,-0.06808521327014282,0.2102803738317757,1.0,7.0,1.0,7.0,1.0,7.0,1.0,9.0,0.0,-49.0,,,0.0,-50.0,1.0,2.0,1.0,17.0,1.0,17.0,1.0,17.0,1.0,18.0,0.0,-12.0,,,0.0,-14.0,0.0,0.0
Female_Playful 05,Female,Playful,-10.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-10.0,10.0,10.0,10.0,-7.0,7.0,7.0,7.0,-91.0,91.0,91.0,91.0,,,,,-90.0,90.0,99.0,99.0,-9.0,9.0,10.0,10.0,-11.0,11.0,16.0,16.0,-11.0,11.0,16.0,16.0,0.2235699858620902,36.95148725598772,0.6297774524741119,4.20431873707153,0.09201940751792688,18.832438310364413,0.1333824573260433,-0.02627599155791452,0.09813084112149532,0.29181514972838285,42.224567928046824,0.7136766118415083,4.550891001978628,0.09460160454787384,17.748288643959924,0.13621133123085183,-0.03980788254292212,0.13551401869158877,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,0.0,-80.0,,,0.0,-79.0,1.0,2.0,1.0,6.0,1.0,6.0,1.0,6.0,1.0,9.0,0.0,-75.0,,,0.0,-83.0,1.0,6.0
