direction,abs_angle,cosine,angular,euclidean,path,rate,curvature,instability,B_accuracy,C_margin,N
left,57.0,0.30178813381552416,45.50303441300046,0.7727451064826734,4.867665279185535,0.0975195591444852,17.37479845404404,0.13798678662863492,0.09836065573770492,-0.02757314915400199,427
left,58.0,0.30713340870390454,45.907491541020484,0.7791549917964802,4.9651848383300194,0.09156230102517846,17.037292348633354,0.13234139436232123,0.10070257611241218,-0.028722738075033005,427
left,59.0,0.31437208445904125,46.45764861453054,0.787879014182705,5.056747139355198,0.09104655450100921,18.160937296569198,0.1330994002573384,0.09601873536299765,-0.030577706508949153,427
left,60.0,0.3151499952867941,46.538315578701905,0.7892431244079625,5.147793693856207,0.09313884058168956,18.090440791116553,0.13466016157798522,0.0936768149882904,-0.030423588160887815,427
left,61.0,0.3171496980363368,46.72001114606299,0.7922384426242015,5.240932534437897,0.09450117579772545,17.321100734723508,0.13419111168984788,0.10304449648711944,-0.030822519675350858,427
left,62.0,0.319000490097028,46.872836995180656,0.7947144758226721,5.335433710235622,0.09299039606886111,17.424526137620404,0.13321497952630984,0.09836065573770492,-0.030166872212144195,427
left,63.0,0.3191643739751686,46.90539125536309,0.7953134335455347,5.428424106304484,0.08704954109196082,17.88597929212178,0.12752965410224726,0.07494145199063232,-0.03051503383024515,427
left,64.0,0.3203607846478947,47.00523371104613,0.7969325786452104,5.515473647396444,0.093968466107474,18.455739570223987,0.1327044281942783,0.08196721311475409,-0.029296729827094692,427
left,65.0,0.3245694553544985,47.30833477047065,0.801671168145307,5.609442113503919,0.08885540017548434,17.823092363809064,0.13079234774484008,0.0702576112412178,-0.02922678468378143,427
left,66.0,0.3265207419629957,47.460972296828686,0.8041101720629029,5.698297513679403,0.09239738133563649,18.54124337201675,0.13243654769882385,0.07494145199063232,-0.02989897459954791,427
left,67.0,0.3293936101837516,47.66184382918847,0.8072171593717445,5.790694895015039,0.09252054379507027,19.09386985118327,0.13991288603468857,0.07962529274004684,-0.030400236680301066,427
left,68.0,0.32870005723743306,47.621166139910876,0.8066175053772937,5.88321543881011,0.10096387472658024,17.340323783642294,0.14222999822688606,0.07494145199063232,-0.031240226932096816,427
left,69.0,0.3325554729903889,47.91896983555385,0.8113606976960247,5.98417931353669,0.09355212382501127,16.814355199951475,0.14006945202934099,0.0585480093676815,-0.033166549384454375,427
left,70.0,0.33941336454217275,48.418701377350494,0.8191934232131101,6.077731437361701,0.08968814120429461,18.181073964077633,0.13421732647915913,0.05152224824355972,-0.03541724673478888,427
left,71.0,0.3418716121054924,48.59301210175633,0.8219021332626879,6.167419578565996,0.09061222874169048,18.758846087381762,0.13417369003388027,0.05152224824355972,-0.03613236553495885,427
left,72.0,0.35112941027804334,49.27753286786046,0.8326691119676451,6.258031807307686,0.08793003840559539,19.112203451762657,0.13314490276770513,0.05620608899297424,-0.038572195542221605,427
left,73.0,0.355953969358002,49.64439094597059,0.838484851063275,6.345961845713282,0.09096512597150211,18.89341539658699,0.13146545160430936,0.05152224824355972,-0.0396198147353858,427
